"Подрегион"	"Регион"
"Брестская область"	"Белоруссия"
"Витебская область"	"Белоруссия"
"Гомельская область"	"Белоруссия"
"Гродненская область"	"Белоруссия"
"Минская область"	"Белоруссия"
"Могилевская область"	"Белоруссия"
"Красноярский край"	"?Сибирский ФО"
"Алтай"	"?Сибирский ФО"
"Бурятия"	"?Сибирский ФО"
"Тува"	"?Сибирский ФО"
"Хакасия"	"?Сибирский ФО"
"Алтайский край"	"?Сибирский ФО"
"Забайкальский край"	"?Сибирский ФО"
"Красноярский край"	"?Сибирский ФО"
"Иркутская область"	"?Сибирский ФО"
"Кемеровская область"	"?Сибирский ФО"
"Новосибирская область"	"?Сибирский ФО"
"Омская область"	"?Сибирский ФО"
"Томская область"	"?Сибирский ФО"
"Таймыр"	"?Сибирский ФО"
"Западная Сибирь"	"?Сибирский ФО"
"Акмолинская область"	"Казахстан"
"Актюбинская область"	"Казахстан"
"Алматинская область"	"Казахстан"
"Атырауская область"	"Казахстан"
"Восточно-Казахстанская область"	"Казахстан"
"Жамбылская область"	"Казахстан"
"Западно-Казахстанская область"	"Казахстан"
"Карагандинская область"	"Казахстан"
"Костанайская область"	"Казахстан"
"Кызылординская область"	"Казахстан"
"Мангистауская область"	"Казахстан"
"Павлодарская область"	"Казахстан"
"Северо-Казахстанская область"	"Казахстан"
"Южно-Казахстанская область"	"Казахстан"
"Алма-Ата"	"Казахстан"
"Курганская область"	"Урал"
"Свердловская область"	"Урал"
"Тюменская область"	"Урал"
"Челябинская область"	"Урал"
"Ханты-Мансийский АО"	"Урал"
"Ямало-Ненецкий АО"	"Урал"
"Омская область"	"Западная Сибирь"
"Томская область"	"Западная Сибирь"
"Новосибирская область"	"Западная Сибирь"
"Кемеровская область"	"Западная Сибирь"
"Алтайский край"	"Западная Сибирь"
"Алтай"	"Западная Сибирь"
"Хакасия"	"Западная Сибирь"
"Винницкая область"	"Украина"
"Волынская область"	"Украина"
"Днепропетровская область"	"Украина"
"Донецкая область"	"Украина"
"Житомирская область"	"Украина"
"Закарпатская область"	"Украина"
"Запорожская область"	"Украина"
"Ивано-Франковская область"	"Украина"
"Киевская область"	"Украина"
"Кировоградская область"	"Украина"
"Луганская область"	"Украина"
"Львовская область"	"Украина"
"Николаевская область"	"Украина"
"Одесская область"	"Украина"
"Полтавская область"	"Украина"
"Ровненская область"	"Украина"
"Сумская область"	"Украина"
"Тернопольская область"	"Украина"
"Харьковская область"	"Украина"
"Херсонская область"	"Украина"
"Хмельницкая область"	"Украина"
"Черкасская область"	"Украина"
"Черниговская область"	"Украина"
"Черновицкая область"	"Украина"
"Киев"	"Украина"
"Ивано-Франковск"	"Украина"
"Крым"	"Украина"
"Приморский край"	"Дальний Восток"
"Хабаровский край"	"Дальний Восток"
"Амурская область"	"Дальний Восток"
"Сахалинская область"	"Дальний Восток"
"Магаданская область"	"Дальний Восток"
"Чукотский АО"	"Дальний Восток"
"Камчатский край"	"Дальний Восток"
