Лемма	positive		negative		not positive	pos fraction		pos fraction without Moscow		mean pos percentage		mean neg percentage		pos neg ratio		percentage defect		rank defect	
манты	222	221	4	4	199	98.23	98.22	97.14	97.12	0.54	0.34	0.04	0.00	12.24	inf	0.07	0.00	0.03	0.00
отворотка	40	38	139	139	119	22.35	21.47	32.26	31.15	3.66	4.07	0.62	0.27	5.91	15.27	0.00	0.00	0.00	0.00
горсад	267	266	166	165	281	61.66	61.72	76.07	76.22	3.17	4.63	0.65	0.47	4.90	9.86	0.12	0.07	0.14	0.05
Севск	25	25	88	88	121	22.12	22.12	32.89	32.89	4.91	7.45	1.06	0.09	4.65	80.40	0.00	0.00	0.00	0.00
чойс	16	16	126	126	158	11.27	11.27	17.58	17.58	2.55	2.55	0.68	0.13	3.73	19.49	0.00	0.00	0.00	0.00
Симф	18	18	110	110	118	14.06	14.06	19.57	19.57	2.81	2.81	0.81	0.81	3.45	3.45	0.00	0.00	0.00	0.00
заодним	60	60	83	83	166	41.96	41.96	63.83	63.83	0.98	1.46	0.30	0.14	3.31	10.81	0.08	0.01	0.21	0.04
Долгопа	41	41	147	147	169	21.81	21.81	69.49	69.49	1.16	1.16	0.37	0.27	3.14	4.29	0.00	0.00	0.00	0.00
Севаст	25	25	67	67	106	27.17	27.17	35.71	35.71	3.90	3.90	1.52	0.54	2.57	7.20	0.00	0.00	0.00	0.00
араз	12	12	155	155	210	7.19	7.19	11.21	11.21	7.84	7.84	3.21	3.21	2.45	2.45	0.00	0.00	0.00	0.00
Чебы	35	35	104	103	121	25.18	25.36	38.46	38.89	17.16	17.16	7.26	7.26	2.36	2.36	0.00	0.00	0.00	0.00
Ебург	474	474	750	747	841	38.73	38.82	55.44	55.63	9.48	9.48	4.03	3.31	2.35	2.87	-0.00	-0.00	0.00	0.00
наливайка	205	205	93	93	225	68.79	68.79	76.49	76.49	2.11	2.69	1.06	1.22	1.99	2.20	0.21	0.19	0.50	0.33
парма	94	94	879	872	1377	9.66	9.73	17.00	17.22	9.80	9.80	5.21	2.45	1.88	4.00	0.00	0.00	0.00	0.00
кукса	12	12	202	200	200	5.61	5.66	8.39	8.51	10.43	10.43	5.56	0.66	1.88	15.79	0.00	0.00	0.00	0.00
култук	77	77	150	149	155	33.92	34.07	47.24	47.53	3.92	9.59	2.09	0.25	1.87	37.65	0.16	0.00	0.67	0.00
Орен	71	71	347	346	573	16.99	17.03	26.30	26.39	11.37	11.37	6.56	0.65	1.73	17.47	0.31	0.00	0.50	0.00
Зелик	74	74	325	325	305	18.55	18.55	39.15	39.15	3.05	3.05	1.80	0.43	1.70	7.06	0.12	0.00	0.50	0.00
микрик	68	68	183	180	224	27.09	27.42	32.85	33.33	4.14	4.68	2.67	0.80	1.55	5.84	0.21	0.04	0.49	0.12
батониться	120	120	36	35	117	76.92	77.42	82.19	82.76	1.71	1.82	1.23	0.01	1.39	189.84	0.26	0.00	0.16	0.00
тремпель	38	38	64	64	125	37.25	37.25	41.76	41.76	1.61	1.87	1.17	0.22	1.38	8.37	0.11	0.00	0.44	0.00
мивина	374	374	44	44	234	89.47	89.47	93.27	93.27	1.23	1.23	0.91	0.05	1.35	22.70	0.00	0.00	0.00	0.00
малосемейка	127	126	125	124	220	50.40	50.40	64.47	64.62	0.72	1.07	0.57	0.44	1.26	2.40	0.31	0.13	0.42	0.32
шихан	91	91	284	283	303	24.27	24.33	31.16	31.27	4.25	4.25	3.41	3.14	1.25	1.35	0.25	0.25	0.50	0.50
брежневка	60	60	105	104	140	36.36	36.59	49.59	50.00	0.48	0.74	0.40	0.15	1.20	5.11	0.36	0.00	0.26	0.00
сталинка	420	420	648	643	792	39.33	39.51	62.31	62.78	1.26	1.53	1.05	0.57	1.20	2.70	0.31	0.06	0.28	0.13
шаверма	866	865	1109	1105	1642	43.85	43.91	63.63	63.79	3.92	4.78	3.36	3.51	1.17	1.36	0.15	0.14	0.60	0.33
тютина	26	26	200	200	490	11.50	11.50	17.11	17.11	2.21	2.21	1.98	0.46	1.12	4.83	0.00	0.00	0.00	0.00
Симфер	193	193	80	80	187	70.70	70.70	88.13	88.13	0.63	0.63	0.58	0.11	1.09	5.59	0.00	0.00	0.00	0.00
рясно	171	171	14	14	103	92.43	92.43	95.53	95.53	0.23	0.55	0.21	0.01	1.09	44.06	0.34	0.00	0.67	0.00
