Лемма	positive		negative		not positive	pos fraction		pos fraction without Moscow		mean pos percentage		mean neg percentage		pos neg ratio		percentage defect		rank defect	
программатура	6	6	0	0	5	100.00	100.00	100.00	100.00	0.56	0.56	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
швендять	19	19	0	0	11	100.00	100.00	100.00	100.00	0.06	0.06	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
высадный	5	5	0	0	6	100.00	100.00	100.00	100.00	0.22	0.22	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
надурняк	22	22	0	0	9	100.00	100.00	100.00	100.00	0.07	0.07	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
кучмовоз	7	7	0	0	6	100.00	100.00	100.00	100.00	0.02	0.02	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
тапшануть	5	5	0	0	3	100.00	100.00	100.00	100.00	3.27	3.27	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
окарать	10	10	1	1	10	90.91	90.91	100.00	100.00	0.52	0.79	0.00	0.00	493.94	inf	0.00	0.00	0.00	0.00
мамбетский	7	7	1	1	6	87.50	87.50	100.00	100.00	0.99	0.99	0.00	0.00	473.71	inf	0.00	0.00	0.00	0.00
тигули	12	12	5	5	23	70.59	70.59	92.31	92.31	1.69	1.69	0.01	0.00	201.02	inf	0.00	0.00	0.00	0.00
котелец	5	5	2	2	8	71.43	71.43	83.33	83.33	1.45	1.45	0.01	0.00	187.77	inf	0.00	0.00	0.00	0.00
тырситься	5	5	1	1	11	83.33	83.33	100.00	100.00	0.24	0.24	0.00	0.00	115.80	inf	0.00	0.00	0.00	0.00
подглазины	10	10	9	9	22	52.63	52.63	71.43	71.43	1.41	1.43	0.01	0.01	101.94	135.99	0.00	0.00	0.00	0.00
малоценник	7	7	1	1	3	87.50	87.50	87.50	87.50	0.65	0.65	0.01	0.00	84.36	inf	0.00	0.00	0.00	0.00
полторачка	7	7	2	2	15	77.78	77.78	77.78	77.78	0.34	0.34	0.01	0.00	43.90	inf	0.00	0.00	0.00	0.00
материковский	20	11	21	21	44	48.78	34.38	58.82	44.00	9.25	6.59	0.23	0.01	39.48	897.70	-0.00	0.00	0.00	0.00
Новчик	10	10	9	9	14	52.63	52.63	76.92	76.92	4.90	4.90	0.15	0.01	31.86	389.78	0.00	0.00	0.00	0.00
Ульск	38	38	18	18	38	67.86	67.86	79.17	79.17	10.00	10.00	0.36	0.02	28.00	596.36	0.00	0.00	0.00	0.00
шухлядка	83	83	6	6	55	93.26	93.26	98.81	98.81	0.27	0.27	0.01	0.01	25.97	25.97	0.00	0.00	0.00	0.00
вязочка	19	19	13	13	19	59.38	59.38	70.37	70.37	1.06	1.28	0.04	0.01	25.94	122.02	0.00	0.00	0.00	0.00
гратар	9	9	6	6	15	60.00	60.00	75.00	75.00	2.61	2.61	0.13	0.00	19.75	inf	0.00	0.00	0.00	0.00
