Лемма	positive		negative		not positive	pos fraction		pos fraction without Moscow		mean pos percentage		mean neg percentage		pos neg ratio		percentage defect		rank defect	
отворотка	97	92	308	308	274	23.95	23.00	35.40	34.20	0.42	0.34	0.05	0.02	8.72	14.94	0.00	0.00	0.00	0.00
горсад	441	440	226	225	426	66.12	66.17	77.92	78.01	0.26	0.33	0.04	0.03	6.71	11.39	0.08	0.06	0.15	0.06
Долгопа	83	83	211	211	300	28.23	28.23	81.37	81.37	0.11	0.11	0.02	0.02	5.47	5.47	0.00	0.00	0.00	0.00
Севаст	48	48	103	103	196	31.79	31.79	42.86	42.86	0.34	0.34	0.07	0.04	4.77	8.19	0.00	0.00	0.00	0.00
Чебы	115	115	162	161	215	41.52	41.67	60.21	60.53	2.62	2.62	0.55	0.55	4.72	4.72	0.00	0.00	0.00	0.00
чойс	18	18	145	145	196	11.04	11.04	16.98	16.98	0.15	0.15	0.04	0.02	4.34	6.69	0.00	0.00	0.00	0.00
кукса	19	19	403	401	379	4.50	4.52	6.69	6.74	1.07	1.07	0.26	0.05	4.18	21.67	0.00	0.00	0.00	0.00
заодним	78	78	108	108	206	41.94	41.94	64.46	64.46	0.06	0.08	0.02	0.01	2.80	8.07	0.13	0.05	0.22	0.03
Ебург	1016	1016	1176	1173	1497	46.35	46.41	62.79	62.91	1.12	1.12	0.43	0.42	2.63	2.66	0.00	0.00	0.00	0.00
араз	22	22	451	451	349	4.65	4.65	6.06	6.06	0.76	0.76	0.29	0.29	2.62	2.62	0.00	0.00	0.00	0.00
Симф	33	33	192	192	219	14.67	14.67	22.15	22.15	0.24	0.24	0.09	0.09	2.59	2.59	0.00	0.00	0.00	0.00
Орен	188	188	653	652	1197	22.35	22.38	33.51	33.57	1.51	1.51	0.60	0.28	2.52	5.42	0.18	0.12	0.50	0.50
наливайка	269	269	115	115	316	70.05	70.05	77.30	77.30	0.16	0.16	0.07	0.07	2.42	2.42	0.17	0.17	0.50	0.50
парма	177	177	1453	1446	2408	10.86	10.91	18.75	18.89	0.90	0.90	0.43	0.43	2.10	2.10	0.00	0.00	0.00	0.00
микрик	126	126	304	300	364	29.30	29.58	36.42	36.84	0.41	0.52	0.20	0.14	2.02	3.69	0.16	0.11	0.47	0.28
Зелик	193	193	517	517	617	27.18	27.18	50.79	50.79	0.26	0.26	0.16	0.05	1.70	4.99	0.00	0.00	0.00	0.00
батониться	157	157	54	53	159	74.41	74.76	78.89	79.29	0.12	0.13	0.07	0.03	1.68	4.64	0.20	0.07	0.19	0.08
малосемейка	152	150	140	139	266	52.05	51.90	66.09	66.08	0.05	0.09	0.03	0.02	1.64	4.00	0.26	0.09	0.44	0.25
рясно	248	248	15	15	135	94.30	94.30	96.50	96.50	0.02	0.04	0.01	0.00	1.57	65.52	0.25	0.00	0.67	0.00
свороток	136	136	131	131	136	50.94	50.94	63.26	63.26	0.27	0.27	0.18	0.03	1.50	8.60	0.00	0.00	0.00	0.00
тремпель	77	77	83	83	195	48.12	48.12	52.38	52.38	0.16	0.16	0.11	0.07	1.48	2.19	0.16	0.16	0.33	0.22
манты	306	305	12	12	254	96.23	96.21	93.88	93.85	0.03	0.03	0.01	0.02	5.02	1.37	0.16	0.42	0.03	0.09
култук	224	224	301	300	310	42.67	42.75	58.03	58.18	0.62	1.48	0.47	0.83	1.32	1.77	0.32	0.00	0.56	0.00
шихан	291	291	766	765	864	27.53	27.56	33.26	33.30	0.78	0.78	0.70	0.70	1.12	1.12	0.31	0.31	0.50	0.50
Симфер	335	335	116	116	299	74.28	74.28	90.54	90.54	0.06	0.06	0.05	0.01	1.11	6.61	0.00	0.00	0.00	0.00
энский	62	62	189	189	209	24.70	24.70	37.13	37.13	0.06	0.15	0.06	0.06	1.02	2.46	0.30	0.00	0.67	0.00
мивина	504	504	66	66	326	88.42	88.42	92.14	92.14	0.08	0.08	0.08	0.08	0.99	0.99	0.01	0.01	1.00	1.00
Новоросс	57	57	190	189	227	23.08	23.17	31.32	31.49	0.14	0.22	0.14	0.10	0.97	2.27	0.27	0.00	0.50	0.00
подклад	534	534	1374	1369	1162	27.99	28.06	44.32	44.50	0.15	0.17	0.16	0.14	0.94	1.24	0.35	0.30	0.52	0.29
поребрик	1416	1410	1485	1482	2388	48.81	48.76	71.01	71.03	0.35	0.31	0.33	0.33	1.08	0.93	0.19	0.18	0.53	0.56
бусик	952	952	1194	1185	1581	44.36	44.55	61.42	61.78	0.27	0.27	0.33	0.22	0.83	1.22	0.40	0.27	0.69	0.68
Кёниг	374	374	1125	1122	1216	24.95	25.00	46.00	46.17	2.82	2.82	3.44	0.49	0.82	5.82	0.18	0.00	1.00	0.00
гирло	174	174	74	74	169	70.16	70.16	84.06	84.06	0.03	0.04	0.04	0.01	0.81	7.51	0.33	0.00	0.78	0.00
шаверма	1451	1450	1511	1506	2373	48.99	49.05	67.55	67.69	0.28	0.38	0.35	0.45	0.81	0.85	0.38	0.25	0.64	0.67
Челяба	249	249	310	308	454	44.54	44.70	56.33	56.59	0.32	0.32	0.40	0.21	0.80	1.49	0.45	0.20	0.67	0.44
аршан	26	26	899	896	529	2.81	2.82	3.67	3.68	1.26	1.26	1.59	1.49	0.79	0.85	0.51	0.51	0.75	0.50
толока	266	266	95	95	180	73.68	73.68	83.12	83.12	0.06	0.08	0.08	0.07	0.79	1.14	0.43	0.37	0.75	0.44
муль	22	22	1030	1024	1200	2.09	2.10	3.59	3.62	0.30	0.30	0.38	0.38	0.79	0.79	0.21	0.21	1.00	1.00
Севск	54	54	367	367	369	12.83	12.83	16.67	16.67	0.46	0.78	0.58	0.74	0.78	1.05	0.40	0.00	0.50	0.00
бадлон	222	222	104	104	225	68.10	68.10	86.05	86.05	0.09	0.09	0.11	0.11	0.78	0.78	0.22	0.22	1.00	1.00
крутка	23	23	371	369	314	5.84	5.87	10.09	10.18	0.11	0.11	0.14	0.08	0.78	1.35	0.22	0.00	1.00	0.00
