Лемма	positive		negative		not positive	pos fraction		pos fraction without Moscow		mean pos percentage		mean neg percentage		pos neg ratio		percentage defect		rank defect	
высадный	6	6	0	0	7	100.00	100.00	100.00	100.00	0.01	0.01	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
швендять	19	19	0	0	12	100.00	100.00	100.00	100.00	0.00	0.00	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
кутарки	5	5	0	0	7	100.00	100.00	100.00	100.00	0.03	0.03	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
бормыш	9	9	0	0	0	100.00	100.00	100.00	100.00	0.06	0.06	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
надурняк	26	26	0	0	13	100.00	100.00	100.00	100.00	0.00	0.00	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
кучмовоз	8	8	0	0	13	100.00	100.00	100.00	100.00	0.00	0.00	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
пустолёд	6	6	0	0	0	100.00	100.00	100.00	100.00	0.22	0.22	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
программатура	11	11	0	0	6	100.00	100.00	100.00	100.00	0.05	0.05	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
тапшануть	6	6	0	0	3	100.00	100.00	100.00	100.00	0.21	0.21	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
углярка	13	13	1	1	15	92.86	92.86	100.00	100.00	0.03	0.04	0.00	0.00	1027.36	inf	0.00	0.00	0.00	0.00
мамбетский	10	10	1	1	8	90.91	90.91	100.00	100.00	0.07	0.07	0.00	0.00	706.77	inf	0.00	0.00	0.00	0.00
окарать	10	10	1	1	10	90.91	90.91	100.00	100.00	0.03	0.04	0.00	0.00	524.04	inf	0.00	0.00	0.00	0.00
чебовский	9	9	4	4	10	69.23	69.23	100.00	100.00	0.20	0.20	0.00	0.00	488.94	inf	0.00	0.00	0.00	0.00
заколенники	7	7	3	3	6	70.00	70.00	77.78	77.78	0.08	0.15	0.00	0.00	188.14	inf	0.00	0.00	0.00	0.00
котелец	5	5	2	2	8	71.43	71.43	83.33	83.33	0.07	0.07	0.00	0.00	172.57	inf	0.00	0.00	0.00	0.00
Новчик	61	61	10	10	43	85.92	85.92	95.31	95.31	1.39	1.39	0.01	0.00	165.62	1893.69	0.00	0.00	0.00	0.00
тигули	15	15	9	9	24	62.50	62.50	88.24	88.24	0.11	0.11	0.00	0.00	140.48	150.60	0.00	0.00	0.00	0.00
тырситься	5	5	1	1	18	83.33	83.33	100.00	100.00	0.01	0.01	0.00	0.00	123.54	inf	0.00	0.00	0.00	0.00
малоценник	7	7	1	1	3	87.50	87.50	87.50	87.50	0.03	0.03	0.00	0.00	82.01	inf	0.00	0.00	0.00	0.00
Ульск	92	92	27	27	83	77.31	77.31	87.62	87.62	1.16	1.16	0.02	0.00	71.98	792.09	0.00	0.00	0.00	0.00
полторачка	11	11	3	3	20	78.57	78.57	78.57	78.57	0.03	0.03	0.00	0.00	70.78	inf	0.00	0.00	0.00	0.00
материковский	36	14	24	24	66	60.00	36.84	69.23	46.67	0.86	0.41	0.01	0.00	62.16	969.72	-0.00	0.00	0.00	0.00
подглазины	10	10	10	10	25	50.00	50.00	66.67	66.67	0.07	0.07	0.00	0.00	85.49	36.32	0.00	0.00	0.00	0.00
шухлядка	105	105	6	6	65	94.59	94.59	99.06	99.06	0.02	0.02	0.00	0.00	33.56	33.56	0.00	0.00	0.00	0.00
мырк	23	23	103	103	83	18.25	18.25	28.05	28.05	1.70	1.70	0.06	0.03	26.57	65.57	0.00	0.00	0.00	0.00
