Loc	Authors count	Words count	Positive occs	Negative occs	Not positive occs	Positive lemmas	Negative lemmas	Not positive lemmas
Москва	47709	955536562	4816	42911	0	9	472	0
Украина	17306	339544272	2362	1505	578	77	268	42
Петербург	12956	254665153	5217	10529	0	24	320	0
Киев	6875	133373633	5140	4615	0	72	211	0
?Сибирский ФО	5926	114457724	17	872	740	6	164	151
Урал	4232	82834267	10	834	741	1	172	100
Западная Сибирь	4146	79259789	17	977	464	7	183	104
Московская область	3533	75494820	1263	2658	0	11	210	0
Свердловская область	2274	45042010	1745	2622	0	54	151	0
Новосибирская область	2060	38671787	1867	2107	0	64	150	0
Дальний Восток	1563	31927778	4	506	331	1	119	57
Самарская область	1518	30846328	231	1940	0	14	141	0
Белоруссия	1493	28432593	97	317	10	18	138	3
Краснодарский край	1180	23631610	274	1290	0	39	130	0
Ростовская область	1177	23229028	315	1175	0	39	120	0
Одесская область	1086	23068606	707	832	0	55	98	0
Харьковская область	1107	21934570	693	740	0	50	96	0
Латвия	1075	21736961	385	730	0	22	100	0
Челябинская область	1133	21643282	747	1436	0	44	104	0
Нижегородская область	1094	21445582	85	1348	0	12	115	0
Пермский край	1022	20039395	587	1120	0	38	113	0
Башкирия	908	16720779	335	1286	0	7	120	0
Татарстан	919	16020762	68	986	0	11	101	0
Приморский край	778	15582266	303	994	0	29	101	0
Красноярский край	781	14988950	745	914	0	49	82	0
Иркутская область	782	14868281	709	1678	0	47	100	0
Эстония	846	14608117	83	544	0	10	89	0
Днепропетровская область	757	14306478	414	510	0	47	77	0
Волгоградская область	673	14042509	138	869	0	14	79	0
Крым	641	13981931	818	507	0	47	78	0
Воронежская область	712	13596037	103	714	0	9	92	0
Саратовская область	671	13452605	45	760	0	5	74	0
Калининградская область	668	13249940	489	671	0	15	90	0
Донецкая область	650	11938347	393	372	0	55	84	0
Омская область	627	11655119	310	764	0	33	83	0
Томская область	521	10619070	289	692	0	46	78	0
Тюменская область	496	10153977	370	625	0	40	84	0
Львовская область	522	9991276	423	495	0	39	74	0
Хабаровский край	455	9727545	127	643	0	24	64	0
Алтайский край	441	9251897	220	591	0	20	90	0
Ярославская область	421	8414335	81	411	0	17	72	0
Ульяновская область	380	7927475	127	364	0	6	54	0
Казахстан	412	7875036	44	155	7	17	74	3
Кемеровская область	415	7541688	153	590	0	35	75	0
Молдавия	345	7378402	133	262	0	22	67	0
Ставропольский край	391	7126297	36	346	0	8	63	0
Тульская область	367	7086298	13	359	0	3	65	0
Тверская область	332	7022694	113	342	0	8	66	0
Астраханская область	353	6996330	47	377	0	10	59	0
Белгородская область	270	6902095	28	350	0	5	67	0
Удмуртия	349	6588600	106	344	0	16	63	0
Вологодская область	286	6518688	74	300	0	10	55	0
Архангельская область	282	6445525	175	202	0	23	47	0
Мурманская область	271	6249254	104	287	0	8	68	0
Рязанская область	280	6202509	35	372	0	7	65	0
Кировская область	262	6086746	53	330	0	13	65	0
Калужская область	278	6078284	6	284	0	5	63	0
Оренбургская область	286	5950585	219	262	0	10	63	0
Запорожская область	278	5553135	318	178	0	30	50	0
Пензенская область	242	5415404	7	293	0	5	54	0
Ленинградская область	255	5379341	14	283	0	5	64	0
Узбекистан	239	5179792	10	436	0	3	45	0
Литва	262	4946328	2	225	0	1	52	0
Алма-Ата	246	4817914	295	211	0	17	52	0
Владимирская область	251	4623987	19	224	0	3	48	0
Чувашия	204	4397138	195	278	0	8	53	0
Ивановская область	196	4260142	24	201	0	10	47	0
Новгородская область	178	3916333	38	173	0	9	40	0
Орловская область	178	3491747	24	137	0	9	36	0
Псковская область	148	3487617	6	185	0	3	50	0
