author	place	region		
KenigsberginMoscow	1	Московская область	?		
Куйбышев-курортнаводах_Москва	1	?, Москва	?		
Balkan	1	??	?		
BatIm	1	??	?		
Batubulan-Ubud	1	??	?		
остров	1	??	?		
Пески	1	??	?		
Песковатка	1	??	?		
Песковка-сити	1	??	?		
Поречье	1	??	?		
пос.Ильевка	1	??	?		
ПоселокСоветский	1	??	?		
Приволжский	1	??	?		
Примиусье	1	??	?		
Приморск	1	??	?		
с.ПокровськіХуторянаКинбурні	1	??	?		
с.Пульсаково	1	??	?		
Самуи	1	??	?		
Дыр	1	???	?		
AS	2	???American Samoa	?		
GU	1	???Guam	?		
GeorgeTown	1	?Georgetown	?		
RI	1	?Rhode Island	?		
SantaCruz	2	?Santa Cruz	?		
Riev	1	?Киев	?		
Kirsk	1	?Красноярск	?		
Kras	1	?Красноярск	?		
Krsk	1	?Красноярск	?		
Кр-ск	1	?Красноярск	?		
столица	7	?Москва	?		
Столица	8	?Москва	?		
столица(частоперемещаюсь)	1	?Москва	?		
Cuenca	1	Cuenca	?		
Hamilton	2	Hamilton	?		
LosAndes	1	Los Andes	?		
Manchester	2	Manchester	?		
St.Helena	2	St.Helena	?		
Kirov	1	Киров	?		
Kirovsk	1	Кировск	?		
kirovsk	1	Кировск	?		
rostov	1	Ростов	?		
Rostov	8	Ростов	?		
ростов	3	Ростов	?		
Ростов	23	Ростов	?		
Ротстов	1	Ростов	?		
Радужный	1		?		
Рассвет	1		?		
Романовка	1		?		
с.Красновка	1		?		
Салем	1		?		
Самарское	1		?		
Город-пробка	1	??Москва	??Москва		
NSW	4	? New South Wales	?Австралия		
Яблочный-Белокаменная-Золотая-далее-везде	1	?Алма-Ата, Москва	?Алма-Атинская область		
Субмаринск-на-Двине	1	?Северодвинск	?Архангельская область		
450038	1	?Уфа	?Башкирия		
Eaf	1	?Уфа	?Башкирия		
eaf	1	?Уфа	?Башкирия		
Antopol	1	?Антополь	?Брестская область		
Bereza	1	?Береза	?Брестская область		
35	1	??Брянская область	?Брянская область		
Acton	2	?Лондон	?Великобритания		
Bexleyheath	1	?Лондон	?Великобритания		
Brent	1	?Лондон	?Великобритания		
Москва-Петушки	1	?Москва, ?Петушки	?Владимирская область		
Volgo	1	?Волгоград	?Волгоградская область		
#38	1	?Вологодская область	?Вологодская область		
Baden	1	?	?Германия		
КрасивыйгородокнаберегуРейна	1	?Германия	?Германия		
