Lemma	Count	Positive	Negative	Not positive	Authors count	Positive authors	Negative authors	Not positive authors	Брестская область		Липецкая область		Абхазия		Ямало-Ненецкий АО		Литва		Мордовия		Тульская область		Северная Осетия		Карелия		Белгородская область		Костанайская область		Павлодарская область		Иркутская область		Свердловская область		Черниговская область		Украина		Азербайджан		Киев		Владимирская область		Омская область		Полтавская область		Сумская область		Одесская область		Чечня		Якутия		Псковская область		Крым		Ингушетия		Красноярский край		Гомельская область		Закарпатская область		Смоленская область		Узбекистан		Армения		Львовская область		Запорожская область		Мурманская область		Пензенская область		Житомирская область		Сахалинская область		Томская область		Ненецкий АО		Камчатский край		Дальний Восток		Хакасия		Москва		Воронежская область		Эстония		Черновицкая область		Восточно-Казахстанская область		Чукотский АО		Пермский край		Вологодская область		Западная Сибирь		Херсонская область		?Сибирский ФО		Орловская область		Удмуртия		Ростовская область		Белоруссия		Донецкая область		Петербург		Ханты-Мансийский АО		Западно-Казахстанская область		Алтайский край		Чувашия		Бурятия		Башкирия		Марий Эл		Калмыкия		Еврейская АО		Коми		Ивановская область		Харьковская область		?Петропавловская область		Минская область		Киевская область		Магаданская область		Курская область		Латвия		Волынская область		Николаевская область		Астраханская область		Оренбургская область		Забайкальский край		Калужская область		Урал		Краснодарский край		Казахстан		Саратовская область		Ивано-Франковск		Татарстан		Республика Алтай		Новосибирская область		Новгородская область		Волгоградская область		Кабардино-Балкария		Архангельская область		Киргизия		Калининградская область		Ульяновская область		Хабаровский край		Гродненская область		Тюменская область		Кировская область		Карагандинская область		Алма-Ата		Брянская область		Молдавия		Тува		Туркмения		Самарская область		Грузия		Костромская область		Ярославская область		Карачаево-Черкесия		Днепропетровская область		Приморский край		Тверская область		Амурская область		Московская область		Ленинградская область		Дагестан		Курганская область		Тамбовская область		Нижегородская область		Кемеровская область		Луганская область		Таймыр		Ставропольский край		Адыгея		Рязанская область		Челябинская область		Other Locs
сотовый	15776	928	7821	7027	11172	635	5511	5026	33	24	48	36	0	0	12	10	9	3	25	18	57	38	43	7	22	13	33	27	16	12	27	16	96	61	229	162	25	15	1959	1333	29	11	274	177	31	20	89	70	34	20	18	15	135	91	14	5	71	54	13	10	77	63	3	2	163	118	54	32	15	8	21	17	7	6	3	2	75	28	52	38	51	36	53	32	16	10	9	7	32	31	2	1	14	10	117	90	25	22	1043	786	52	38	0	0	43	23	18	13	0	0	185	138	97	72	478	369	20	18	957	706	2	2	59	47	116	86	215	141	157	97	15	2	72	54	0	0	70	51	36	31	27	21	277	196	19	13	11	7	3	3	29	23	23	17	85	72	12	11	18	15	9	7	2	2	31	20	1	1	16	6	43	29	29	25	88	64	14	11	29	27	770	528	180	125	552	382	98	68	0	0	252	170	4	3	189	138	3	2	82	63	12	4	59	41	12	8	45	35	77	38	44	32	37	23	107	76	78	53	35	24	0	0	18	14	13	10	12	5	0	0	224	167	2	2	16	8	86	59	6	4	98	72	40	33	33	29	8	6	149	104	34	24	19	14	32	25	19	17	21	17	73	57	49	42	4	3	78	35	2	2	28	21	318	201	Хмельницкая область=20,12;Россия=2518,1824;Бельгия=1,1;Таиланд=2,2;США=30,23;Тернопольская область=6,4;Индия=1,1;Могилевская область=29,21;Ивано-Франковская область=17,10;Австрия=1,1;Коста-Рика=2,1;Объединенные Арабские Эмираты=9,2;Ирландия=2,1;Испания=6,5;Чехия=5,5;Китай=6,4;Минск=126,96;Витебская область=44,26;Великобритания=14,6;Финляндия=5,4;Исландия=2,2;Дания=1,1;Новая Зеландия=1,1;Винницкая область=49,29;?Московская область=3,2;Польша=1,1;Израиль=25,17;Курганская оласть=5,4;Ровненская область=9,8;Япония=3,3;?Татарстан=3,3;NA=4055,2886;Индонезия=1,1;?=7,5;Гондурас=1,1;Южная Корея=10,9;Астана=80,58;Люксембур=1,1;Нидерланды=2,2;Катар=12,1;Турция=4,3;Германия=41,23;Италия=7,5;Канада=3,3;Кировоградская область=15,13;Корея=1,1;?Луганская область=9,4;Черкасская область=11,7;Франция=6,5;Португалия=5,5;Ямайка=8,2;Швейцария=2,1
греча	6190	63	2998	3129	3912	43	1966	1903	19	13	12	7	0	0	8	6	0	0	6	4	8	8	5	4	8	5	33	8	7	3	2	1	20	16	87	65	6	5	812	553	2	2	131	103	10	8	32	17	9	7	3	3	73	40	0	0	4	3	1	1	74	50	2	2	59	27	7	7	1	1	12	8	1	1	5	3	14	11	29	27	22	11	13	11	4	4	2	2	13	10	1	1	6	1	40	31	6	5	545	321	25	20	0	0	7	4	3	1	0	0	89	60	33	19	161	95	3	3	314	177	0	0	12	12	64	42	54	39	83	51	1	1	20	17	0	0	17	14	17	13	7	7	47	37	1	1	4	4	0	0	41	17	6	5	69	46	2	1	8	3	2	2	0	0	4	3	0	0	3	2	11	8	6	5	36	16	5	3	4	4	200	151	76	51	99	62	28	25	0	0	68	32	2	2	64	40	5	5	26	25	0	0	31	22	17	4	11	9	31	10	8	8	7	6	35	25	19	19	6	3	0	0	0	0	6	4	2	1	0	0	52	40	3	2	17	10	22	19	1	1	47	34	23	19	12	9	1	1	43	34	21	6	3	3	15	8	2	2	1	1	29	9	13	12	1	1	16	14	2	2	4	4	35	30	Норвегия=2,2;Хмельницкая область=6,3;Россия=1175,733;США=5,5;?=1,1;Тернопольская область=5,2;Южная Корея=1,1;Франция=4,4;Болгария=4,3;Ивано-Франковская область=2,1;Австрия=2,1;Астана=3,3;Австралия=2,2;Объединенные Арабские Эмираты=2,2;Витебская область=7,5;Кировоградская область=1,1;Буркина-Фасо=2,2;Германия=19,13;Испания=1,1;Италия=1,1;Канада=7,6;Китай=5,2;Минск=36,25;Великобритания=2,2;Финляндия=4,3;Португалия=1,1;Мадагаскар=1,1;Япония=3,3;Могилевская область=6,5;Винницкая область=7,7;Черкасская область=9,9;?Московская область=1,1;Венесуэла=1,1;Ямайка=2,2;Израиль=3,3;Ровненская область=1,1;NA=1832,1074;Курганская оласть=3,2;Чехия=1,1;Кипр=2,1;Непал=1,1
занос	3495	260	1665	1570	2464	198	1112	1154	15	11	10	5	0	0	0	0	1	1	3	3	11	9	2	1	2	2	3	3	1	1	2	2	17	14	62	35	0	0	482	314	0	0	95	56	14	12	25	21	2	2	1	1	36	21	2	2	18	9	12	5	18	16	0	0	39	22	10	8	1	1	13	9	0	0	0	0	5	5	8	8	24	19	3	3	2	2	8	4	4	4	0	0	1	1	36	25	6	5	260	198	32	14	0	0	2	2	0	0	0	0	32	19	22	20	82	72	5	4	191	139	1	1	8	7	36	23	49	34	33	22	0	0	20	10	0	0	10	9	10	5	0	0	38	31	3	1	1	1	0	0	15	10	10	6	28	22	1	1	1	1	1	1	0	0	11	5	0	0	7	3	15	11	5	3	11	10	11	6	5	5	178	104	37	29	31	27	19	16	0	0	30	22	1	1	24	22	0	0	20	11	0	0	11	9	1	1	16	10	25	5	11	7	3	3	32	20	12	9	5	5	0	0	6	4	4	3	2	2	0	0	38	29	0	0	5	4	29	17	1	1	64	24	15	12	16	14	1	1	44	29	7	5	1	1	7	6	7	5	8	5	13	11	8	7	1	1	30	8	0	0	10	8	57	33	Хмельницкая область=3,3;Россия=528,405;Бельгия=1,1;NA=978,701;Индонезия=2,1;США=1,1;?=1,1;Тернопольская область=5,3;Франция=1,1;Германия=9,7;Ивано-Франковская область=8,5;Астана=4,2;Чехия=1,1;Ирландия=2,2;Кировоградская область=3,3;Испания=2,2;Италия=1,1;Канада=2,2;Китай=2,2;Минск=25,18;Витебская область=9,8;Могилевская область=11,3;Винницкая область=1,1;Черкасская область=12,4;Польша=5,1;Израиль=1,1;Ровненская область=1,1;Япония=3,3;Кипр=1,1
догонялки	2335	39	1251	1045	2184	34	1171	979	5	5	5	5	0	0	3	3	1	1	0	0	7	6	2	2	0	0	6	4	2	2	2	2	7	7	27	24	2	2	302	292	0	0	43	43	8	8	15	13	4	4	6	6	17	17	1	1	10	10	7	7	24	21	1	1	16	16	2	2	1	1	6	6	0	0	0	0	8	8	9	9	8	7	6	6	6	5	1	1	3	3	1	1	5	5	29	28	1	1	171	157	11	11	0	0	3	3	1	1	0	0	36	25	15	13	57	54	4	4	105	102	2	2	12	11	12	11	29	29	26	26	0	0	9	9	0	0	8	8	4	4	2	2	44	40	3	3	2	2	0	0	9	9	5	4	18	15	2	2	3	3	2	2	2	2	15	5	0	0	0	0	10	9	3	3	12	12	0	0	8	6	95	91	32	29	97	93	6	5	0	0	21	21	1	1	15	14	0	0	17	16	1	1	16	16	0	0	8	7	3	3	9	9	3	3	18	18	8	8	3	3	1	1	6	6	1	1	5	5	0	0	36	31	1	1	2	2	10	10	0	0	16	16	11	10	7	6	1	1	17	16	5	5	0	0	4	3	5	5	3	3	15	15	7	7	2	2	3	3	1	1	4	4	34	34	?Татарстан=1,1;Россия=339,321;Таиланд=1,1;NA=625,585;США=7,7;?=1,1;Тернопольская область=3,3;Хмельницкая область=2,2;Германия=6,5;Могилевская область=8,8;Ивано-Франковская область=2,2;Чехия=2,1;Астана=18,17;Франция=2,1;Турция=1,1;Кировоградская область=3,3;Испания=2,2;Канада=1,1;Китай=1,1;Минск=22,20;Витебская область=8,8;Великобритания=6,5;Финляндия=1,1;Япония=2,2;Винницкая область=3,3;Болгария=1,1;Курганская оласть=4,4;Ровненская область=2,2;Ямайка=2,1
матный	1971	56	967	948	1688	53	827	808	8	8	7	7	0	0	2	2	0	0	3	3	10	9	0	0	0	0	2	2	1	1	10	6	7	7	22	18	2	2	275	245	1	1	30	26	9	9	7	7	1	1	4	4	9	9	0	0	9	9	5	4	10	10	0	0	7	7	7	7	0	0	3	3	0	0	0	0	4	4	11	11	7	2	2	2	3	3	2	2	1	1	1	1	2	2	12	12	0	0	133	106	12	11	0	0	4	4	1	1	0	0	23	19	3	3	35	31	3	3	60	56	0	0	10	10	10	6	37	37	14	14	0	0	17	9	0	0	5	5	13	13	3	3	28	22	3	3	5	1	0	0	5	5	2	2	10	10	0	0	5	5	0	0	0	0	4	4	0	0	5	5	3	3	2	2	11	7	0	0	4	4	75	63	28	21	46	42	7	7	0	0	28	20	0	0	12	12	0	0	12	9	1	1	2	2	0	0	10	6	13	13	4	4	7	7	5	5	5	5	2	2	0	0	5	5	0	0	0	0	0	0	25	16	0	0	1	1	8	8	1	1	9	9	3	3	5	5	1	1	26	25	2	2	1	1	2	2	2	2	10	6	10	6	12	8	1	1	1	1	0	0	5	5	27	27	?Татарстан=2,2;Россия=322,266;Бельгия=6,1;США=5,5;?=1,1;Тернопольская область=4,4;Хмельницкая область=2,2;Могилевская область=4,4;Ивано-Франковская область=4,4;Астана=9,9;Франция=1,1;Китай=5,1;Австралия=1,1;Витебская область=6,6;Германия=1,1;Канада=1,1;Минск=27,23;Кировоградская область=2,2;Великобритания=1,1;Винницкая область=7,7;NA=564,493;Курганская оласть=1,1;Ровненская область=8,8;Япония=1,1
мобилка	1775	396	588	791	1653	361	548	744	4	4	2	2	0	0	0	0	1	1	0	0	3	3	0	0	1	1	1	1	3	3	3	3	4	4	20	20	2	1	396	361	0	0	66	62	3	3	6	6	3	3	6	5	23	19	0	0	3	3	1	1	27	26	0	0	15	13	2	1	1	1	0	0	0	0	0	0	11	9	19	17	6	6	4	4	1	1	1	1	1	1	0	0	1	1	17	12	1	1	132	119	5	5	0	0	3	3	1	1	0	0	12	10	11	11	33	31	6	6	69	63	0	0	4	4	8	8	20	18	35	29	0	0	9	8	0	0	4	4	4	4	1	1	17	16	0	0	1	1	0	0	3	3	0	0	22	21	1	1	3	3	2	2	0	0	4	4	0	0	3	3	12	12	2	2	8	8	1	1	2	2	56	53	12	12	73	72	4	4	0	0	14	14	0	0	14	13	0	0	6	6	0	0	4	4	0	0	6	6	5	5	9	4	4	4	7	5	4	4	2	2	0	0	1	1	4	4	0	0	0	0	15	15	0	0	1	1	6	6	0	0	21	21	5	5	12	10	1	1	10	10	5	4	1	1	3	3	0	0	6	6	7	6	10	10	0	0	9	3	0	0	4	4	17	17	Хмельницкая область=5,5;Кипр=1,1;Россия=215,197;NA=491,473;США=3,3;?=1,1;Тернопольская область=4,3;Южная Корея=1,1;Португалия=3,3;Германия=8,8;Ивано-Франковская область=4,4;Астана=19,19;Кировоградская область=3,3;Афганистан=1,1;Объединенные Арабские Эмираты=1,1;Испания=9,5;Канада=1,1;Минск=25,19;Витебская область=5,4;Великобритания=2,1;Могилевская область=2,2;Зимбабве=1,1;Винницкая область=15,6;Черкасская область=1,1;Израиль=3,3;Китай=2,2;Япония=2,2;Сингапур=1,1;Непал=1,1
пасочка	1372	903	125	344	1169	761	111	297	0	0	1	1	0	0	1	1	0	0	1	1	3	3	0	0	0	0	2	2	0	0	1	1	1	1	5	5	4	4	854	713	0	0	225	180	0	0	5	5	16	13	4	4	59	51	0	0	0	0	2	1	17	13	0	0	1	1	1	1	5	5	2	2	0	0	0	0	29	27	31	25	1	1	2	2	8	8	0	0	1	1	0	0	0	0	1	1	0	0	34	28	2	2	0	0	5	5	1	1	0	0	1	1	2	2	15	15	10	8	18	18	0	0	0	0	30	29	2	2	52	49	0	0	1	1	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	70	55	0	0	0	0	5	1	0	0	0	0	0	0	6	6	10	9	0	0	1	1	0	0	3	3	12	10	17	17	8	8	3	2	0	0	1	1	0	0	8	8	0	0	4	3	0	0	2	2	0	0	2	2	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	6	3	0	0	0	0	1	1	0	0	0	0	1	1	0	0	67	56	0	0	0	0	0	0	2	2	2	2	0	0	0	0	0	0	0	0	1	1	16	8	0	0	4	4	0	0	0	0	4	2	Россия=50,44;NA=276,235;США=1,1;Тернопольская область=7,7;Хмельницкая область=16,14;Индия=1,1;Ивано-Франковская область=6,6;Чехия=1,1;Астана=2,2;Канада=3,3;Бельгия=1,1;Турция=0,0;Испания=0,0;Минск=3,3;Кировоградская область=1,1;Винницкая область=5,5;?Луганская область=1,1;Черкасская область=5,5;?Московская область=1,1;Израиль=1,1;Португалия=1,1;Ровненская область=5,4;Япония=1,1;Непал=1,1
поребрик	1309	16	773	520	1070	15	625	430	2	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	2	0	0	0	0	2	2	7	7	5	5	541	411	0	0	178	130	1	1	8	7	3	2	7	5	29	25	2	1	0	0	1	1	13	10	0	0	2	2	0	0	1	1	0	0	1	1	0	0	12	10	17	14	0	0	0	0	1	1	0	0	3	2	0	0	0	0	3	3	0	0	91	84	2	2	0	0	1	1	0	0	0	0	3	2	2	2	20	17	4	3	28	25	0	0	2	2	9	9	3	3	36	27	0	0	0	0	0	0	1	1	1	1	2	2	5	4	0	0	0	0	0	0	0	0	1	1	52	40	2	2	1	1	1	1	1	1	2	2	0	0	0	0	5	5	0	0	4	4	0	0	1	1	19	16	12	12	6	6	0	0	0	0	2	2	0	0	8	7	0	0	2	2	0	0	6	5	0	0	0	0	0	0	1	1	0	0	3	3	2	1	0	0	0	0	1	1	1	1	0	0	0	0	5	5	0	0	0	0	7	7	0	0	41	25	0	0	3	3	1	1	11	10	1	1	0	0	2	1	2	2	0	0	0	0	5	5	0	0	1	1	1	1	1	1	7	5	Хмельницкая область=3,3;Россия=239,184;Бельгия=1,1;Дания=1,1;NA=237,206;Австралия=1,1;?=0,0;Тернопольская область=1,1;Франция=3,3;Болгария=1,1;Ивано-Франковская область=3,3;Австрия=1,1;Италия=2,2;Астана=1,1;Канада=4,2;США=0,0;Германия=11,10;Испания=2,2;Чехия=1,1;Минск=7,7;Кировоградская область=1,1;Великобритания=1,1;Япония=2,2;Винницкая область=5,5;Черкасская область=8,6;Польша=1,1;ЮАР=1,1;Израиль=1,1;Ровненская область=4,4;Швейцария=2,1
обменник	1285	26	814	445	1049	22	669	358	4	4	1	1	0	0	0	0	2	2	1	1	2	1	0	0	1	1	2	1	1	1	1	1	9	6	19	13	5	4	417	361	0	0	107	92	0	0	7	6	9	7	1	1	22	19	0	0	0	0	0	0	62	56	0	0	9	7	4	3	0	0	4	4	0	0	0	0	9	9	13	11	5	2	1	1	1	1	2	1	2	1	0	0	0	0	5	4	0	0	120	93	4	4	0	0	1	1	0	0	0	0	5	5	5	2	26	20	1	1	58	45	0	0	1	1	9	5	12	11	29	27	1	1	2	2	0	0	2	2	0	0	2	2	10	6	2	2	0	0	0	0	4	4	0	0	27	25	0	0	0	0	0	0	0	0	2	2	0	0	2	2	7	5	1	1	2	2	2	2	0	0	52	40	13	10	16	15	6	5	0	0	9	6	1	1	7	5	0	0	5	4	0	0	9	5	1	1	8	7	3	3	2	2	2	2	17	12	3	3	1	1	0	0	0	0	3	3	0	0	0	0	16	12	0	0	0	0	5	4	0	0	14	13	1	1	6	3	0	0	10	7	0	0	0	0	4	3	1	1	0	0	8	6	11	10	1	1	2	2	0	0	3	3	10	10	Хмельницкая область=2,2;Россия=161,130;Таиланд=2,2;?=2,2;Южная Корея=1,1;Германия=4,4;Могилевская область=1,1;Ивано-Франковская область=1,1;Чехия=1,1;Канада=2,2;Кировоградская область=1,1;Витебская область=1,1;Минск=7,7;Великобритания=3,2;Винницкая область=2,2;Черкасская область=6,5;Польша=1,1;Израиль=2,2;NA=255,200;Вьетнам=1,1;Сингапур=1,1;Ямайка=1,1;Непал=1,1
подклад	1038	340	351	347	924	302	318	304	1	1	2	2	0	0	0	0	0	0	0	0	1	1	0	0	3	3	2	2	0	0	0	0	4	4	40	32	1	1	139	120	2	2	20	17	4	4	14	7	3	3	1	1	22	14	0	0	2	2	1	1	4	3	0	0	22	20	0	0	1	1	0	0	0	0	0	0	3	3	5	5	8	7	5	5	0	0	4	4	2	2	0	0	0	0	10	9	2	2	56	51	7	6	0	0	3	3	0	0	0	0	36	27	17	17	47	39	3	3	102	90	0	0	11	11	10	9	3	3	5	4	1	1	2	2	0	0	1	1	5	5	5	5	28	28	4	4	0	0	0	0	3	3	1	1	10	10	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	3	3	1	1	1	1	89	78	4	4	23	22	3	3	0	0	30	26	1	1	24	23	2	2	5	4	1	1	8	7	0	0	8	8	6	5	3	2	0	0	20	19	19	18	1	1	0	0	3	3	0	0	0	0	0	0	16	14	0	0	0	0	5	4	0	0	11	9	3	3	4	4	0	0	8	8	3	3	1	1	0	0	0	0	1	1	4	4	3	3	0	0	1	1	0	0	4	3	27	25	?Татарстан=1,1;Хмельницкая область=1,1;Россия=164,148;NA=169,142;США=1,1;Болгария=1,1;Астана=4,4;Кировоградская область=1,1;Германия=1,1;Испания=1,1;Чехия=1,1;Китай=1,1;Минск=1,1;Витебская область=2,2;Великобритания=1,1;Винницкая область=1,1
