Лемма	positive		negative		not positive	pos fraction		pos fraction without Moscow		mean pos percentage		mean neg percentage		pos neg ratio		percentage defect		rank defect	
мамбетизм	10	10	1	1	17	90.91	90.91	90.91	90.91	0.01	0.01	0.00	0.00	100.40	inf	0.00	0.00	0.00	0.00
култук	25	25	6	6	18	80.65	80.65	80.65	80.65	0.20	0.20	0.02	0.00	12.37	inf	0.00	0.00	0.00	0.00
горсад	71	71	10	10	40	87.65	87.65	89.87	89.87	0.06	0.12	0.01	0.00	9.69	inf	0.07	0.00	0.07	0.00
Симф	49	49	24	24	48	67.12	67.12	73.13	73.13	0.21	0.21	0.03	0.02	6.51	10.20	0.00	0.00	0.00	0.00
Севаст	25	25	22	22	27	53.19	53.19	55.56	55.56	0.11	0.11	0.02	0.02	6.32	6.32	0.00	0.00	0.00	0.00
рясно	152	152	4	4	66	97.44	97.44	98.70	98.70	0.02	0.02	0.00	0.00	5.88	inf	0.00	0.00	0.00	0.00
буузы	12	12	12	12	37	50.00	50.00	60.00	60.00	0.13	0.20	0.02	0.00	5.70	inf	0.00	0.00	0.00	0.00
Орен	61	61	79	79	84	43.57	43.57	48.03	48.03	0.49	0.49	0.09	0.09	5.30	5.30	0.00	0.00	0.00	0.00
Чебы	20	20	30	30	23	40.00	40.00	60.61	60.61	0.27	0.27	0.06	0.01	4.60	30.89	0.00	0.00	0.00	0.00
тремпель	49	49	18	18	52	73.13	73.13	76.56	76.56	0.06	0.16	0.02	0.01	3.96	13.96	0.09	0.00	0.44	0.00
мамбет	110	110	24	24	103	82.09	82.09	83.33	83.33	0.16	0.16	0.04	0.00	3.94	451.17	0.00	0.00	0.00	0.00
Семск	47	47	4	4	37	92.16	92.16	92.16	92.16	0.06	0.06	0.02	0.00	3.54	inf	0.00	0.00	0.00	0.00
Кёниг	40	40	158	158	155	20.20	20.20	24.54	24.54	0.45	0.45	0.14	0.03	3.10	14.92	0.00	0.00	0.00	0.00
аршан	21	21	33	33	40	38.89	38.89	42.00	42.00	0.29	0.33	0.08	0.14	3.60	2.39	0.00	0.00	0.00	0.00
шаверма	23	23	245	245	368	8.58	8.58	11.00	11.00	0.25	0.29	0.11	0.06	2.17	4.70	0.10	0.08	0.31	0.22
сарайка	36	36	20	20	64	64.29	64.29	72.00	72.00	0.04	0.05	0.02	0.00	2.16	46.22	0.23	0.00	0.21	0.00
мивина	539	539	37	37	300	93.58	93.58	94.73	94.73	0.07	0.07	0.03	0.00	2.03	18.50	0.00	0.00	0.00	0.00
повешать	68	68	61	61	79	52.71	52.71	55.74	55.74	0.04	0.04	0.02	0.00	1.74	19.82	0.19	0.00	0.24	0.00
рясный	58	58	5	5	24	92.06	92.06	93.55	93.55	0.03	0.01	0.02	0.00	1.71	inf	0.23	0.00	0.67	0.00
парма	34	34	206	206	155	14.17	14.17	15.96	15.96	0.13	0.13	0.08	0.05	1.68	2.41	0.02	0.00	0.25	0.00
КГТ	21	21	14	14	37	60.00	60.00	63.64	63.64	0.09	0.14	0.06	0.00	1.51	inf	0.17	0.00	0.50	0.00
Новосиб	229	229	194	194	216	54.14	54.14	63.61	63.61	0.23	0.23	0.15	0.10	1.48	2.26	0.19	0.14	0.39	0.22
повешаться	37	37	32	32	75	53.62	53.62	59.68	59.68	0.02	0.02	0.02	0.00	1.41	12.40	0.25	0.00	0.34	0.00
Симфер	88	88	9	9	25	90.72	90.72	96.70	96.70	0.01	0.01	0.01	0.00	1.31	3.52	0.00	0.00	0.00	0.00
копняк	9	9	56	56	44	13.85	13.85	13.85	13.85	0.03	0.06	0.03	0.03	1.26	1.71	0.11	0.00	0.44	0.00
баклажка	69	69	26	26	66	72.63	72.63	69.41	69.41	0.03	0.03	0.02	0.00	1.22	inf	0.28	0.00	0.49	0.00
