Лемма	positive		negative		not positive	pos fraction		pos fraction without Moscow		mean pos percentage		mean neg percentage		pos neg ratio		percentage defect		rank defect	
семский	25	25	0	0	17	100.00	100.00	100.00	100.00	0.03	0.03	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
одоробло	16	16	0	0	6	100.00	100.00	100.00	100.00	0.00	0.00	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
селючка	9	9	0	0	4	100.00	100.00	100.00	100.00	0.00	0.00	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
манты	13	13	0	0	13	100.00	100.00	100.00	100.00	0.00	0.00	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
ганделик	5	5	0	0	2	100.00	100.00	100.00	100.00	0.00	0.00	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
тыняться	13	13	0	0	5	100.00	100.00	100.00	100.00	0.00	0.00	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
наявность	24	24	0	0	5	100.00	100.00	100.00	100.00	0.00	0.00	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
головар	6	6	2	2	10	75.00	75.00	100.00	100.00	0.11	0.11	0.00	0.00	107.38	inf	0.00	0.00	0.00	0.00
мамбетизм	10	10	1	1	17	90.91	90.91	90.91	90.91	0.01	0.01	0.00	0.00	100.40	inf	0.00	0.00	0.00	0.00
Новчик	5	5	3	3	4	62.50	62.50	83.33	83.33	0.07	0.07	0.00	0.00	46.86	inf	0.00	0.00	0.00	0.00
Ульск	11	11	5	5	7	68.75	68.75	91.67	91.67	0.14	0.14	0.00	0.00	43.03	inf	0.00	0.00	0.00	0.00
Невинка	9	9	3	3	2	75.00	75.00	90.00	90.00	0.11	0.11	0.00	0.00	25.13	inf	0.00	0.00	0.00	0.00
Улановка	6	6	1	1	1	85.71	85.71	85.71	85.71	0.11	0.11	0.01	0.00	13.57	inf	0.00	0.00	0.00	0.00
Лебердон	9	9	1	1	1	90.00	90.00	90.00	90.00	0.04	0.04	0.00	0.00	12.38	inf	0.00	0.00	0.00	0.00
култук	25	25	6	6	18	80.65	80.65	80.65	80.65	0.20	0.20	0.02	0.00	12.37	inf	0.00	0.00	0.00	0.00
горсад	71	71	10	10	40	87.65	87.65	89.87	89.87	0.06	0.12	0.01	0.00	9.69	inf	0.07	0.00	0.07	0.00
Светлик	5	5	1	1	4	83.33	83.33	83.33	83.33	0.06	0.06	0.01	0.00	9.05	inf	0.00	0.00	0.00	0.00
богатка	7	7	4	4	10	63.64	63.64	87.50	87.50	0.03	0.03	0.00	0.00	8.26	inf	0.00	0.00	0.00	0.00
Симф	49	49	24	24	48	67.12	67.12	73.13	73.13	0.21	0.21	0.03	0.02	6.51	10.20	0.00	0.00	0.00	0.00
Севаст	25	25	22	22	27	53.19	53.19	55.56	55.56	0.11	0.11	0.02	0.02	6.32	6.32	0.00	0.00	0.00	0.00
италмас	7	7	3	3	5	70.00	70.00	77.78	77.78	0.08	0.08	0.01	0.00	5.90	inf	0.00	0.00	0.00	0.00
рясно	152	152	4	4	66	97.44	97.44	98.70	98.70	0.02	0.02	0.00	0.00	5.88	inf	0.00	0.00	0.00	0.00
Кёник	6	6	5	5	7	54.55	54.55	66.67	66.67	0.07	0.07	0.01	0.00	5.88	inf	0.00	0.00	0.00	0.00
Севск	14	14	8	8	13	63.64	63.64	66.67	66.67	0.09	0.11	0.02	0.00	5.72	inf	0.00	0.00	0.00	0.00
буузы	12	12	12	12	37	50.00	50.00	60.00	60.00	0.13	0.20	0.02	0.00	5.70	inf	0.00	0.00	0.00	0.00
Орен	61	61	79	79	84	43.57	43.57	48.03	48.03	0.49	0.49	0.09	0.09	5.30	5.30	0.00	0.00	0.00	0.00
бичиха	21	21	7	7	20	75.00	75.00	84.00	84.00	0.06	0.09	0.01	0.00	4.83	inf	0.03	0.00	0.19	0.00
Чебы	20	20	30	30	23	40.00	40.00	60.61	60.61	0.27	0.27	0.06	0.01	4.60	30.89	0.00	0.00	0.00	0.00
Долгопа	8	8	14	14	11	36.36	36.36	88.89	88.89	0.03	0.03	0.01	0.01	4.59	4.59	0.00	0.00	0.00	0.00
скибка	19	19	1	1	9	95.00	95.00	100.00	100.00	0.00	0.00	0.00	0.00	4.56	inf	0.00	0.00	0.00	0.00
тремпель	49	49	18	18	52	73.13	73.13	76.56	76.56	0.06	0.16	0.02	0.01	3.96	13.96	0.09	0.00	0.44	0.00
