Лемма	positive		negative		not positive	pos fraction		pos fraction without Moscow		mean pos percentage		mean neg percentage		pos neg ratio		percentage defect		rank defect	
мамбетизм	43	43	1	1	55	97.73	97.73	97.73	97.73	0.08	0.08	0.00	0.00	518.95	inf	0.00	0.00	0.00	0.00
култук	43	43	12	12	29	78.18	78.18	78.18	78.18	0.52	0.52	0.03	0.00	18.78	inf	0.00	0.00	0.00	0.00
горсад	74	74	10	10	50	88.10	88.10	90.24	90.24	0.08	0.16	0.01	0.00	8.84	inf	0.08	0.00	0.07	0.00
Симф	55	55	27	27	52	67.07	67.07	73.33	73.33	0.27	0.27	0.04	0.03	7.15	9.66	0.00	0.00	0.00	0.00
Орен	64	64	86	86	96	42.67	42.67	47.41	47.41	0.78	0.78	0.11	0.11	7.06	7.06	0.00	0.00	0.00	0.00
Севаст	28	28	23	23	32	54.90	54.90	57.14	57.14	0.14	0.14	0.02	0.02	6.88	6.88	0.00	0.00	0.00	0.00
буузы	16	16	14	14	56	53.33	53.33	64.00	64.00	0.29	0.46	0.04	0.00	6.85	159.18	0.00	0.00	0.00	0.00
Чебы	22	22	34	34	25	39.29	39.29	59.46	59.46	0.42	0.42	0.06	0.01	6.69	38.38	0.00	0.00	0.00	0.00
рясно	157	157	4	4	70	97.52	97.52	98.74	98.74	0.02	0.02	0.00	0.00	5.32	inf	0.00	0.00	0.00	0.00
Семск	63	63	5	5	43	92.65	92.65	92.65	92.65	0.12	0.12	0.03	0.00	4.15	inf	0.00	0.00	0.00	0.00
мамбет	156	156	24	24	154	86.67	86.67	87.64	87.64	0.26	0.26	0.06	0.00	3.96	565.56	0.00	0.00	0.00	0.00
тремпель	54	54	23	23	59	70.13	70.13	72.97	72.97	0.08	0.20	0.02	0.02	3.93	12.04	0.08	0.00	0.44	0.00
аршан	29	29	41	41	58	41.43	41.43	44.62	44.62	0.59	0.79	0.14	0.24	4.08	3.28	0.00	0.00	0.00	0.00
Кёниг	49	49	183	183	180	21.12	21.12	26.63	26.63	0.69	0.69	0.26	0.05	2.72	13.11	0.00	0.00	0.00	0.00
мивина	570	570	37	37	311	93.90	93.90	95.00	95.00	0.09	0.09	0.04	0.00	2.26	21.39	0.00	0.00	0.00	0.00
сарайка	42	42	20	20	77	67.74	67.74	75.00	75.00	0.06	0.08	0.03	0.00	2.13	69.51	0.24	0.00	0.20	0.00
шаверма	24	24	284	284	433	7.79	7.79	10.39	10.39	0.36	0.41	0.18	0.13	2.03	3.16	0.10	0.09	0.31	0.33
повешать	70	70	65	65	82	51.85	51.85	54.69	54.69	0.06	0.06	0.03	0.00	1.90	22.23	0.17	0.00	0.24	0.00
копняк	11	11	59	59	49	15.71	15.71	15.71	15.71	0.06	0.11	0.03	0.04	1.77	2.81	0.04	0.00	0.33	0.00
КГТ	21	21	14	14	51	60.00	60.00	63.64	63.64	0.12	0.19	0.07	0.00	1.62	inf	0.17	0.00	0.50	0.00
парма	49	49	261	261	189	15.81	15.81	18.15	18.15	0.21	0.21	0.13	0.08	1.62	2.76	0.00	0.00	0.00	0.00
рясный	60	60	5	5	24	92.31	92.31	93.75	93.75	0.04	0.01	0.03	0.00	1.55	inf	0.27	0.00	0.67	0.00
повешаться	40	40	32	32	76	55.56	55.56	61.54	61.54	0.04	0.04	0.02	0.00	1.52	25.85	0.24	0.00	0.30	0.00
толока	102	102	9	9	46	91.89	91.89	96.23	96.23	0.01	0.02	0.01	0.00	1.32	5.25	0.21	0.00	0.50	0.00
Новосиб	277	277	223	223	251	55.40	55.40	64.27	64.27	0.39	0.39	0.31	0.25	1.26	1.60	0.28	0.24	0.42	0.31
подклад	340	340	351	351	347	49.20	49.20	53.54	53.54	0.13	0.14	0.12	0.08	1.10	1.74	0.26	0.09	0.47	0.19
Зелик	12	12	48	48	31	20.00	20.00	32.43	32.43	0.07	0.11	0.07	0.01	1.05	8.55	0.27	0.00	0.50	0.00
Симфер	91	91	10	10	27	90.10	90.10	96.81	96.81	0.01	0.01	0.01	0.00	1.03	3.42	0.00	0.00	0.00	0.00
малосемейка	118	118	127	127	105	48.16	48.16	49.79	49.79	0.06	0.08	0.04	0.08	1.30	0.96	0.37	0.41	0.33	0.45
пасочка	903	903	125	125	344	87.84	87.84	90.85	90.85	0.11	0.13	0.12	0.11	0.95	1.21	0.29	0.28	0.50	0.33
ботсад	206	206	99	99	133	67.54	67.54	61.63	61.63	0.06	0.09	0.08	0.07	0.80	1.22	0.44	0.35	0.71	0.56
пайта	33	33	37	37	47	47.14	47.14	48.53	48.53	0.07	0.07	0.09	0.01	0.80	4.76	0.29	0.00	0.50	0.00
потеряшка	123	123	410	410	354	23.08	23.08	26.74	26.74	0.11	0.10	0.11	0.13	1.03	0.80	0.28	0.35	0.55	0.72
мамбетский	44	44	2	2	32	95.65	95.65	95.65	95.65	0.05	0.08	0.06	0.00	0.76	inf	0.54	0.00	0.50	0.00
сталинка	142	142	101	101	184	58.44	58.44	72.45	72.45	0.03	0.03	0.04	0.02	0.70	1.39	0.48	0.22	0.50	0.40
Новоросс	36	36	121	121	65	22.93	22.93	28.12	28.12	0.09	0.16	0.13	0.07	0.69	2.37	0.50	0.00	0.75	0.00
