Лемма	positive		negative		not positive	pos fraction		pos fraction without Moscow		mean pos percentage		mean neg percentage		pos neg ratio		percentage defect		rank defect	
одоробло	17	17	0	0	6	100.00	100.00	100.00	100.00	0.00	0.00	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
семский	30	30	0	0	23	100.00	100.00	100.00	100.00	0.05	0.05	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
ганделик	5	5	0	0	2	100.00	100.00	100.00	100.00	0.00	0.00	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
манты	21	21	0	0	13	100.00	100.00	100.00	100.00	0.00	0.01	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
наявность	28	28	0	0	5	100.00	100.00	100.00	100.00	0.00	0.00	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
тыняться	13	13	0	0	6	100.00	100.00	100.00	100.00	0.00	0.00	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
селючка	9	9	0	0	4	100.00	100.00	100.00	100.00	0.00	0.00	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
мамбетизм	43	43	1	1	55	97.73	97.73	97.73	97.73	0.08	0.08	0.00	0.00	518.95	inf	0.00	0.00	0.00	0.00
головар	6	6	2	2	10	75.00	75.00	100.00	100.00	0.18	0.18	0.00	0.00	159.18	inf	0.00	0.00	0.00	0.00
Новчик	5	5	3	3	4	62.50	62.50	83.33	83.33	0.10	0.10	0.00	0.00	61.80	inf	0.00	0.00	0.00	0.00
Ульск	11	11	5	5	7	68.75	68.75	91.67	91.67	0.18	0.18	0.00	0.00	42.94	inf	0.00	0.00	0.00	0.00
Невинка	9	9	3	3	2	75.00	75.00	90.00	90.00	0.15	0.15	0.01	0.00	25.49	inf	0.00	0.00	0.00	0.00
култук	43	43	12	12	29	78.18	78.18	78.18	78.18	0.52	0.52	0.03	0.00	18.78	inf	0.00	0.00	0.00	0.00
Улановка	7	7	1	1	1	87.50	87.50	87.50	87.50	0.21	0.21	0.01	0.00	17.65	inf	0.00	0.00	0.00	0.00
Лебердон	9	9	1	1	1	90.00	90.00	90.00	90.00	0.05	0.05	0.00	0.00	11.78	inf	0.00	0.00	0.00	0.00
горсад	74	74	10	10	50	88.10	88.10	90.24	90.24	0.08	0.16	0.01	0.00	8.84	inf	0.08	-0.00	0.07	0.00
италмас	9	9	3	3	7	75.00	75.00	81.82	81.82	0.11	0.11	0.01	0.00	7.98	inf	0.00	0.00	0.00	0.00
богатка	7	7	7	7	10	50.00	50.00	87.50	87.50	0.04	0.04	0.00	0.00	7.85	10.64	0.00	0.00	0.00	0.00
Светлик	5	5	1	1	4	83.33	83.33	83.33	83.33	0.07	0.07	0.01	0.00	7.61	inf	0.00	0.00	0.00	0.00
Симф	55	55	27	27	52	67.07	67.07	73.33	73.33	0.27	0.27	0.04	0.03	7.15	9.66	0.00	0.00	0.00	0.00
Орен	64	64	86	86	96	42.67	42.67	47.41	47.41	0.78	0.78	0.11	0.11	7.06	7.06	0.00	0.00	0.00	0.00
Севск	15	15	9	9	20	62.50	62.50	65.22	65.22	0.14	0.12	0.02	0.00	6.94	inf	0.00	0.00	0.00	0.00
Севаст	28	28	23	23	32	54.90	54.90	57.14	57.14	0.14	0.14	0.02	0.02	6.88	6.88	0.00	0.00	0.00	0.00
буузы	16	16	14	14	56	53.33	53.33	64.00	64.00	0.29	0.46	0.04	0.00	6.85	159.18	0.00	0.00	0.00	0.00
Чебы	22	22	34	34	25	39.29	39.29	59.46	59.46	0.42	0.42	0.06	0.01	6.69	38.38	0.00	0.00	0.00	0.00
Кёник	6	6	5	5	7	54.55	54.55	66.67	66.67	0.09	0.09	0.01	0.00	6.12	inf	0.00	0.00	0.00	0.00
скибка	22	22	1	1	9	95.65	95.65	100.00	100.00	0.00	0.00	0.00	0.00	5.78	inf	0.00	0.00	0.00	0.00
грибовница	5	5	5	5	10	50.00	50.00	71.43	71.43	0.03	0.03	0.00	0.00	5.61	inf	0.00	0.00	0.00	0.00
Долгопа	8	8	15	15	12	34.78	34.78	88.89	88.89	0.05	0.05	0.01	0.01	5.60	5.60	0.00	0.00	0.00	0.00
рясно	157	157	4	4	70	97.52	97.52	98.74	98.74	0.02	0.02	0.00	0.00	5.32	inf	0.00	0.00	0.00	0.00
бичиха	21	21	7	7	30	75.00	75.00	84.00	84.00	0.07	0.12	0.01	0.00	4.94	inf	0.03	0.00	0.19	0.00
Семск	63	63	5	5	43	92.65	92.65	92.65	92.65	0.12	0.12	0.03	0.00	4.15	inf	0.00	0.00	0.00	0.00
мамбет	156	156	24	24	154	86.67	86.67	87.64	87.64	0.26	0.26	0.06	0.00	3.96	565.56	0.00	0.00	0.00	0.00
тремпель	54	54	23	23	59	70.13	70.13	72.97	72.97	0.08	0.20	0.02	0.02	3.93	12.04	0.08	0.00	0.44	0.00
швендять	14	14	1	1	2	93.33	93.33	100.00	100.00	0.00	0.00	0.00	0.00	3.68	inf	0.00	0.00	0.00	0.00
балашка	12	12	10	10	19	54.55	54.55	75.00	75.00	0.04	0.02	0.01	0.00	3.59	5.81	0.00	0.00	0.00	0.00
микрик	15	15	19	19	22	44.12	44.12	45.45	45.45	0.10	0.24	0.03	0.00	3.47	269.26	0.08	0.00	0.20	0.00
аршан	29	29	41	41	58	41.43	41.43	44.62	44.62	0.59	0.79	0.14	0.24	4.08	3.28	0.00	0.00	0.00	0.00
однёшка	11	11	1	1	2	91.67	91.67	91.67	91.67	0.04	0.04	0.01	0.00	3.15	inf	0.00	0.00	0.00	0.00
Кёниг	49	49	183	183	180	21.12	21.12	26.63	26.63	0.69	0.69	0.26	0.05	2.72	13.11	0.00	0.00	0.00	0.00
мивина	570	570	37	37	311	93.90	93.90	95.00	95.00	0.09	0.09	0.04	0.00	2.26	21.39	0.00	0.00	0.00	0.00
секционка	17	17	6	6	18	73.91	73.91	73.91	73.91	0.08	0.08	0.03	0.00	2.22	inf	0.05	0.00	0.11	0.00
сарайка	42	42	20	20	77	67.74	67.74	75.00	75.00	0.06	0.08	0.03	0.00	2.13	69.51	0.24	0.00	0.20	0.00
Левбердон	5	5	3	3	6	62.50	62.50	62.50	62.50	0.03	0.03	0.01	0.00	2.06	inf	0.00	0.00	0.00	0.00
