Лемма	positive		negative		not positive	pos fraction		pos fraction without Moscow		mean pos percentage		mean neg percentage		pos neg ratio		percentage defect		rank defect	
аршан	13	13	14	14	24	48.15	48.15	54.17	54.17	0.81	0.70	0.09	0.00	9.53	inf	0.00	0.00	0.00	0.00
рясно	104	104	3	3	36	97.20	97.20	99.05	99.05	0.04	0.04	0.01	0.00	7.78	inf	0.00	0.00	0.00	0.00
горсад	43	43	8	8	22	84.31	84.31	87.76	87.76	0.13	0.23	0.02	0.00	6.64	inf	0.11	0.00	0.09	0.00
култук	12	12	6	6	12	66.67	66.67	66.67	66.67	0.37	0.37	0.07	0.00	5.44	inf	0.00	0.00	0.00	0.00
Севаст	17	17	19	19	19	47.22	47.22	50.00	50.00	0.23	0.23	0.05	0.04	5.07	5.20	0.00	0.00	0.00	0.00
Семск	25	25	3	3	17	89.29	89.29	89.29	89.29	0.11	0.11	0.03	0.00	3.85	inf	0.00	0.00	0.00	0.00
Симф	29	29	20	20	31	59.18	59.18	64.44	64.44	0.39	0.39	0.11	0.06	3.55	6.92	0.00	0.00	0.00	0.00
тремпель	31	31	10	10	19	75.61	75.61	79.49	79.49	0.17	0.33	0.05	0.02	3.22	14.85	0.15	0.00	0.50	0.00
мамбет	72	72	18	18	57	80.00	80.00	80.90	80.90	0.40	0.40	0.16	0.00	2.55	396.50	0.00	0.00	0.00	0.00
Орен	28	28	68	68	48	29.17	29.17	31.82	31.82	0.85	0.85	0.37	0.37	2.30	2.30	0.00	0.00	0.00	0.00
Кёниг	26	26	147	147	127	15.03	15.03	18.31	18.31	1.04	1.04	0.46	0.11	2.25	9.65	0.00	0.00	0.00	0.00
мивина	500	500	30	30	267	94.34	94.34	95.60	95.60	0.20	0.20	0.11	0.01	1.82	16.73	0.00	0.00	0.00	0.00
копняк	6	6	40	40	24	13.04	13.04	13.04	13.04	0.11	0.15	0.07	0.08	1.64	1.89	0.04	0.00	0.25	0.00
повешать	39	39	40	40	45	49.37	49.37	52.70	52.70	0.09	0.12	0.06	0.00	1.56	30.47	0.23	0.00	0.32	0.00
рясный	42	42	5	5	9	89.36	89.36	91.30	91.30	0.10	0.02	0.07	0.00	1.49	inf	0.27	0.00	0.67	0.00
сарайка	24	24	17	17	40	58.54	58.54	66.67	66.67	0.11	0.16	0.08	0.00	1.39	38.43	0.32	0.00	0.19	0.00
Новосиб	121	121	120	120	114	50.21	50.21	59.90	59.90	0.41	0.41	0.30	0.08	1.36	4.92	0.19	0.03	0.36	0.03
шаверма	15	15	176	176	230	7.85	7.85	10.20	10.20	0.61	0.27	0.34	0.21	1.81	1.31	0.15	0.29	0.33	0.25
парма	24	24	166	166	96	12.63	12.63	14.12	14.12	0.34	0.34	0.27	0.15	1.26	2.19	0.15	0.01	0.50	0.25
Ебург	30	30	41	41	25	42.25	42.25	51.72	51.72	0.09	0.11	0.07	0.01	1.23	10.04	0.17	0.00	0.50	0.00
баклажка	50	50	20	20	46	71.43	71.43	67.74	67.74	0.08	0.07	0.07	0.00	1.16	inf	0.28	0.00	0.45	0.00
КГТ	11	11	10	10	21	52.38	52.38	55.00	55.00	0.19	0.24	0.17	0.00	1.12	inf	0.10	0.00	0.50	0.00
толока	70	70	8	8	20	89.74	89.74	95.89	95.89	0.02	0.03	0.02	0.01	0.96	3.19	0.28	0.00	0.50	0.00
подклад	221	221	236	236	171	48.36	48.36	52.49	52.49	0.22	0.28	0.24	0.16	0.95	1.73	0.32	0.14	0.52	0.26
мамбетский	26	26	1	1	13	96.30	96.30	96.30	96.30	0.08	0.11	0.09	0.00	0.91	inf	0.45	0.00	0.50	0.00
наливайка	53	53	17	17	29	75.71	75.71	77.94	77.94	0.07	0.05	0.08	0.00	0.91	17.04	0.30	0.00	0.44	0.00
Симфер	67	67	6	6	14	91.78	91.78	95.71	95.71	0.03	0.03	0.03	0.00	0.89	inf	0.11	0.00	1.00	0.00
