Лемма	positive		negative		not positive	pos fraction		pos fraction without Moscow		mean pos percentage		mean neg percentage		pos neg ratio		percentage defect		rank defect	
семский	15	15	0	0	7	100.00	100.00	100.00	100.00	0.07	0.07	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
тыняться	8	8	0	0	4	100.00	100.00	100.00	100.00	0.00	0.00	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
одоробло	14	14	0	0	6	100.00	100.00	100.00	100.00	0.01	0.01	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
наявность	13	13	0	0	3	100.00	100.00	100.00	100.00	0.01	0.01	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
манты	11	11	0	0	9	100.00	100.00	100.00	100.00	0.01	0.01	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
селючка	7	7	0	0	3	100.00	100.00	100.00	100.00	0.00	0.00	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
италмас	5	5	1	1	2	83.33	83.33	100.00	100.00	0.20	0.20	0.00	0.00	114.66	inf	0.00	0.00	0.00	0.00
мамбетизм	7	7	1	1	6	87.50	87.50	87.50	87.50	0.03	0.03	0.00	0.00	79.52	inf	0.00	0.00	0.00	0.00
Невинка	6	6	2	2	1	75.00	75.00	100.00	100.00	0.26	0.26	0.00	0.00	75.35	inf	0.00	0.00	0.00	0.00
аршан	13	13	14	14	24	48.15	48.15	54.17	54.17	0.81	0.70	0.09	0.00	9.53	inf	0.00	0.00	0.00	0.00
рясно	104	104	3	3	36	97.20	97.20	99.05	99.05	0.04	0.04	0.01	0.00	7.78	inf	0.00	0.00	0.00	0.00
буузы	5	5	6	6	21	45.45	45.45	62.50	62.50	0.35	0.35	0.05	0.00	7.47	inf	0.00	0.00	0.00	0.00
горсад	43	43	8	8	22	84.31	84.31	87.76	87.76	0.13	0.23	0.02	0.00	6.64	inf	0.11	0.00	0.09	0.00
Чебы	13	13	12	12	12	52.00	52.00	76.47	76.47	0.64	0.64	0.11	0.01	5.68	46.28	0.00	0.00	0.00	0.00
култук	12	12	6	6	12	66.67	66.67	66.67	66.67	0.37	0.37	0.07	0.00	5.44	inf	0.00	0.00	0.00	0.00
Севаст	17	17	19	19	19	47.22	47.22	50.00	50.00	0.23	0.23	0.05	0.04	5.07	5.20	0.00	0.00	0.00	0.00
мамбетка	17	17	2	2	6	89.47	89.47	94.44	94.44	0.17	0.17	0.04	0.00	4.71	inf	0.05	0.00	0.25	0.00
Семск	25	25	3	3	17	89.29	89.29	89.29	89.29	0.11	0.11	0.03	0.00	3.85	inf	0.00	0.00	0.00	0.00
балашка	8	8	8	8	10	50.00	50.00	66.67	66.67	0.10	0.03	0.03	0.00	3.77	inf	0.00	0.00	0.00	0.00
Симф	29	29	20	20	31	59.18	59.18	64.44	64.44	0.39	0.39	0.11	0.06	3.55	6.92	0.00	0.00	0.00	0.00
бичиха	8	8	4	4	8	66.67	66.67	80.00	80.00	0.12	0.28	0.04	0.00	3.43	inf	0.08	0.00	0.33	0.00
Севск	8	8	6	6	9	57.14	57.14	57.14	57.14	0.18	0.20	0.05	0.00	3.30	inf	0.00	0.00	0.00	0.00
тремпель	31	31	10	10	19	75.61	75.61	79.49	79.49	0.17	0.33	0.05	0.02	3.22	14.85	0.15	0.00	0.50	0.00
скибка	13	13	1	1	5	92.86	92.86	100.00	100.00	0.01	0.01	0.00	0.00	3.04	inf	0.00	0.00	0.00	0.00
швендять	12	12	1	1	2	92.31	92.31	100.00	100.00	0.00	0.00	0.00	0.00	2.81	inf	0.00	0.00	0.00	0.00
мамбет	72	72	18	18	57	80.00	80.00	80.90	80.90	0.40	0.40	0.16	0.00	2.55	396.50	0.00	0.00	0.00	0.00
Орен	28	28	68	68	48	29.17	29.17	31.82	31.82	0.85	0.85	0.37	0.37	2.30	2.30	0.00	0.00	0.00	0.00
Кёниг	26	26	147	147	127	15.03	15.03	18.31	18.31	1.04	1.04	0.46	0.11	2.25	9.65	0.00	0.00	0.00	0.00
