Лемма	positive		negative		not positive	pos fraction		pos fraction without Moscow		mean pos percentage		mean neg percentage		pos neg ratio		percentage defect		rank defect	
тыняться	8	8	0	0	5	100.00	100.00	100.00	100.00	0.00	0.00	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
семский	20	20	0	0	12	100.00	100.00	100.00	100.00	0.05	0.05	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
одоробло	15	15	0	0	6	100.00	100.00	100.00	100.00	0.00	0.00	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
селючка	7	7	0	0	3	100.00	100.00	100.00	100.00	0.00	0.00	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
наявность	17	17	0	0	3	100.00	100.00	100.00	100.00	0.00	0.00	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
манты	19	19	0	0	9	100.00	100.00	100.00	100.00	0.01	0.01	0.00	0.00	inf	inf	0.00	0.00	0.00	0.00
мамбетизм	31	31	1	1	15	96.88	96.88	96.88	96.88	0.08	0.08	0.00	0.00	399.67	inf	0.00	0.00	0.00	0.00
италмас	7	7	1	1	4	87.50	87.50	100.00	100.00	0.11	0.11	0.00	0.00	150.75	inf	0.00	0.00	0.00	0.00
Невинка	6	6	2	2	1	75.00	75.00	100.00	100.00	0.13	0.13	0.00	0.00	90.78	inf	0.00	0.00	0.00	0.00
аршан	19	19	18	18	41	51.35	51.35	57.58	57.58	0.60	0.68	0.05	0.00	11.55	inf	0.00	0.00	0.00	0.00
буузы	9	9	8	8	30	52.94	52.94	69.23	69.23	0.38	0.38	0.04	0.00	10.02	inf	0.00	0.00	0.00	0.00
Чебы	15	15	14	14	13	51.72	51.72	78.95	78.95	0.38	0.38	0.04	0.01	9.75	53.26	0.00	0.00	0.00	0.00
култук	21	21	12	12	19	63.64	63.64	63.64	63.64	0.34	0.34	0.04	0.00	8.72	inf	0.00	0.00	0.00	0.00
рясно	108	108	3	3	40	97.30	97.30	99.08	99.08	0.02	0.02	0.00	0.00	6.77	inf	0.00	0.00	0.00	0.00
горсад	45	45	8	8	31	84.91	84.91	88.24	88.24	0.07	0.12	0.01	0.00	6.67	inf	0.11	0.00	0.09	0.00
Семск	40	40	4	4	23	90.91	90.91	90.91	90.91	0.10	0.10	0.02	0.00	6.50	inf	0.00	0.00	0.00	0.00
Севаст	20	20	20	20	24	50.00	50.00	52.63	52.63	0.12	0.12	0.02	0.02	5.88	5.88	0.00	0.00	0.00	0.00
Севск	9	9	7	7	15	56.25	56.25	56.25	56.25	0.12	0.08	0.02	0.00	4.91	inf	0.00	0.00	0.00	0.00
скибка	16	16	1	1	5	94.12	94.12	100.00	100.00	0.00	0.00	0.00	0.00	4.30	inf	0.00	0.00	0.00	0.00
Симф	32	32	22	22	34	59.26	59.26	64.00	64.00	0.19	0.19	0.05	0.03	4.14	6.51	0.00	0.00	0.00	0.00
мамбетка	19	19	2	2	6	90.48	90.48	95.00	95.00	0.07	0.07	0.02	0.00	3.64	inf	0.05	0.00	0.25	0.00
Орен	30	30	75	75	60	28.57	28.57	31.58	31.58	0.50	0.50	0.14	0.14	3.56	3.56	0.00	0.00	0.00	0.00
швендять	13	13	1	1	2	92.86	92.86	100.00	100.00	0.00	0.00	0.00	0.00	3.50	inf	0.00	0.00	0.00	0.00
тремпель	36	36	15	15	26	70.59	70.59	73.47	73.47	0.09	0.17	0.03	0.01	3.37	11.27	0.13	0.00	0.50	0.00
балашка	11	11	8	8	16	57.89	57.89	73.33	73.33	0.05	0.02	0.02	0.00	3.28	inf	0.00	0.00	0.00	0.00
бичиха	8	8	4	4	9	66.67	66.67	80.00	80.00	0.05	0.12	0.02	0.00	3.20	inf	0.07	0.00	0.33	0.00
копняк	8	8	42	42	26	16.00	16.00	16.00	16.00	0.08	0.11	0.03	0.04	2.84	3.21	0.00	0.00	0.00	0.00
мамбет	111	111	18	18	85	86.05	86.05	86.72	86.72	0.23	0.23	0.09	0.00	2.62	480.21	0.00	0.00	0.00	0.00
мивина	525	525	30	30	274	94.59	94.59	95.80	95.80	0.10	0.10	0.05	0.00	2.13	20.17	0.00	0.00	0.00	0.00
Кёниг	35	35	167	167	148	17.33	17.33	21.60	21.60	0.63	0.63	0.32	0.07	1.98	8.89	0.00	0.00	0.00	0.00
