Author	Loc	Words count	Positive lemmas	Negative lemmas	Not positive lemmas	Positive occs	Negative occs	Not positive occs
2	Москва	6801606	4	49	0	10	149	0
1	Ханты-Мансийский АО	3386040	0	36	0	0	100	0
477	Свердловская область	2174040	8	17	0	24	42	0
16620	Удмуртия	1892202	0	17	0	0	29	0
2881	Киев	1873631	13	20	0	30	44	0
44	Россия	1600820	0	0	3	0	0	4
3415	Северная Осетия	1367252	0	19	0	0	29	0
56	Россия	1250676	0	0	16	0	0	36
918	Челябинская область	1200111	7	14	0	16	21	0
213486136	NA	1170706	0	0	1	0	0	1
168365195	Москва	1105218	0	1	0	0	1	0
2187	NA	1103577	0	0	17	0	0	27
69441922	Пермский край	1074559	0	1	0	0	1	0
3624	Одесская область	1013427	10	12	0	15	18	0
1066	NA	991049	0	0	15	0	0	19
737	Россия	963674	0	0	14	0	0	20
1326	Донецкая область	949025	5	11	0	7	17	0
527	Татарстан	931235	3	12	0	5	25	0
3425	Марий Эл	923648	1	3	0	2	3	0
19107	Харьковская область	904224	1	5	0	4	8	0
3253	Запорожская область	878506	0	1	0	0	1	0
863	Тюменская область	877563	9	14	0	12	23	0
780	Самарская область	847067	0	4	0	0	5	0
2548	NA	832622	0	0	20	0	0	43
4132	Хмельницкая область	812901	1	3	0	1	4	0
8981	Донецкая область	810694	4	11	0	7	22	0
101759	Украина	788700	5	7	3	11	17	5
653	Россия	762385	0	0	16	0	0	36
3502	Киев	721596	6	11	0	7	16	0
1282	Киев	716634	6	10	0	10	10	0
1107	Хабаровский край	681217	1	8	0	1	12	0
6	Россия	670023	0	0	10	0	0	12
265	Москва	664954	0	13	0	0	36	0
883	Ханты-Мансийский АО	656255	1	6	0	1	12	0
1223	Харьковская область	648087	6	8	0	8	10	0
5439	Одесская область	636511	5	4	0	7	6	0
1879	Украина	635986	3	4	0	8	5	0
671	Приморский край	633301	6	13	0	9	22	0
879	Башкирия	627238	0	10	0	0	25	0
4459	Днепропетровская область	625319	2	4	0	2	9	0
670	Россия	615369	0	0	14	0	0	32
87	Россия	602099	0	0	8	0	0	14
19281	Киев	601471	4	5	0	6	12	0
5181	Украина	597279	3	6	2	8	7	2
729	Украина	593782	0	12	1	0	20	1
2165	Луганская область	590639	2	9	0	2	13	0
164284532	Калининградская область	582687	0	1	0	0	1	0
730	Пермский край	577156	4	10	0	6	12	0
2473	Харьковская область	576628	2	9	0	4	20	0
19728	Запорожская область	570437	6	10	0	8	10	0
862	?	557412	0	0	7	0	0	12
555	Коми	550466	0	4	0	0	8	0
126693182	Оренбургская область	540360	0	1	0	0	1	0
669	Новосибирская область	538613	5	10	0	11	21	0
142660507	NA	538349	0	0	1	0	0	1
503	Архангельская область	537052	4	12	0	5	20	0
1047	Курская область	530187	0	6	0	0	8	0
348	Москва	522677	0	8	0	0	10	0
92	Оренбургская область	506636	1	2	0	1	6	0
408	Россия	501703	0	0	12	0	0	18
364	Россия	501668	0	0	9	0	0	19
