Lemma	Count	Positive	Negative	Not positive	Authors count	Positive authors	Negative authors	Not positive authors	Татарстан		Волынская область		?Петропавловская область		Тюменская область		Удмуртия		Пермский край		Ставропольский край		Адыгея		Закарпатская область		Челябинская область		Литва		Сахалинская область		Мурманская область		Тува		Ненецкий АО		Хабаровский край		Казахстан		Алтайский край		Таймыр		Николаевская область		Киевская область		Восточно-Казахстанская область		Брестская область		Крым		Чувашия		Свердловская область		Полтавская область		Белоруссия		Забайкальский край		Киев		Узбекистан		Абхазия		Оренбургская область		Красноярский край		Республика Алтай		Новосибирская область		Томская область		Западная Сибирь		Новгородская область		Калининградская область		Самарская область		Ханты-Мансийский АО		Приморский край		Западно-Казахстанская область		Донецкая область		Киргизия		Иркутская область		Карелия		Ленинградская область		Чукотский АО		Туркмения		Калмыкия		Грузия		Омская область		Камчатский край		Москва		Дальний Восток		Мордовия		?Сибирский ФО		Магаданская область		Хакасия		Московская область		Запорожская область		Павлодарская область		Карагандинская область		Ивановская область		Смоленская область		Гомельская область		Брянская область		Марий Эл		Латвия		Карачаево-Черкесия		Пензенская область		Алма-Ата		Ингушетия		Гродненская область		Якутия		Коми		Орловская область		Воронежская область		Псковская область		Тамбовская область		Черниговская область		Астраханская область		Саратовская область		Азербайджан		Харьковская область		Минская область		Житомирская область		Ивано-Франковск		Тверская область		Башкирия		Кабардино-Балкария		Костанайская область		Молдавия		Урал		Нижегородская область		Липецкая область		Вологодская область		Одесская область		Курганская область		Костромская область		Амурская область		Днепропетровская область		Бурятия		Украина		Кировская область		Еврейская АО		Калужская область		Ростовская область		Краснодарский край		Петербург		Архангельская область		Луганская область		Владимирская область		Северная Осетия		Херсонская область		Кемеровская область		Львовская область		Тульская область		Рязанская область		Дагестан		Курская область		Ярославская область		Сумская область		Волгоградская область		Белгородская область		Армения		Ульяновская область		Эстония		Ямало-Ненецкий АО		Чечня		Черновицкая область		Other Locs
сотовый	11888	772	6346	4770	7874	492	4200	3182	196	127	16	6	7	6	82	55	45	35	137	97	72	29	2	2	13	6	244	129	7	1	7	5	39	25	12	5	2	1	35	24	444	283	50	33	4	3	37	23	6	4	11	6	29	20	61	47	26	22	170	114	32	18	190	117	10	7	236	147	6	5	0	0	78	56	127	84	4	3	148	99	24	24	368	266	3	2	33	24	183	129	56	39	30	23	0	0	124	76	12	8	65	42	18	9	28	19	0	0	0	0	10	6	1	1	72	54	14	10	853	611	94	68	20	13	735	507	2	2	18	15	126	84	49	35	24	13	28	17	20	14	17	13	50	28	14	11	14	8	1	1	4	3	39	25	0	0	3	2	30	17	47	35	22	16	2	2	49	35	10	7	16	14	21	11	23	19	76	47	28	10	73	61	16	13	16	10	0	0	26	22	222	144	8	2	13	9	10	7	586	363	17	13	38	28	80	56	115	72	27	21	14	6	6	4	85	60	22	16	1678	1092	59	35	3	3	19	17	88	61	154	100	15	2	51	33	39	33	26	17	42	6	17	15	56	41	73	26	46	28	23	16	12	10	28	17	75	50	15	12	67	48	22	17	3	2	64	25	0	0	7	5	13	4	40	20	Коста-Рика=2,1;Хмельницкая область=18,10;Южная Корея=9,8;Польша=1,1;Израиль=21,13;Португалия=3,3;США=25,18;?Татарстан=1,1;Витебская область=40,22;Чехия=4,4;Новая Зеландия=1,1;Ирландия=2,1;?=7,5;Тернопольская область=6,4;Черкасская область=11,7;Ямайка=8,2;Швейцария=2,1;Испания=4,3;Катар=12,1;?Московская область=3,2;Индия=1,1;Кировоградская область=12,11;Ровненская область=6,5;Винницкая область=40,22;Бельгия=0,0;Астана=65,44;Индонезия=1,1;Корея=1,1;?Луганская область=8,3;Италия=6,4;NA=2424,1595;Финляндия=3,2;Япония=3,3;Люксембур=1,1;Исландия=1,1;Гондурас=1,1;Ивано-Франковская область=15,8;Объединенные Арабские Эмираты=0,0;Германия=36,18;Таиланд=1,1;Россия=1977,1343;Канада=3,3;Австрия=0,0;Минск=99,72;Курганская оласть=5,4;Могилевская область=25,17;Турция=4,3;Нидерланды=1,1;Франция=6,5;Китай=3,3;Дания=1,1;Великобритания=14,6
греча	5044	54	2516	2474	2922	36	1546	1340	64	29	3	2	0	0	30	20	8	8	75	47	14	12	0	0	1	1	25	22	0	0	2	2	18	8	2	1	0	0	3	3	79	47	12	10	0	0	11	8	1	1	3	1	14	8	63	40	14	10	66	48	9	7	46	31	5	3	110	83	1	1	0	0	30	11	49	18	2	2	57	33	10	8	132	75	4	4	7	5	40	31	15	12	21	17	0	0	66	37	17	4	16	12	5	3	21	6	0	0	0	0	3	3	3	2	22	14	6	1	482	261	32	23	5	3	259	133	0	0	5	4	37	28	25	23	2	1	6	3	5	4	9	5	5	5	0	0	0	0	0	0	0	0	12	10	0	0	2	2	6	5	4	3	39	15	0	0	17	14	1	1	1	1	3	3	5	4	22	20	1	1	54	33	8	3	4	4	0	0	11	8	37	28	0	0	7	3	6	4	159	116	1	1	12	7	27	13	60	30	15	8	17	10	0	0	39	28	6	6	680	438	16	16	0	0	2	2	50	32	65	40	1	1	26	18	13	12	5	5	4	3	3	3	26	6	13	10	7	7	3	3	3	3	4	3	17	14	2	2	19	19	31	6	5	3	27	8	0	0	8	6	0	0	6	3	Италия=1,1;Хмельницкая область=5,2;NA=1374,682;Южная Корея=0,0;Венесуэла=1,1;Израиль=3,3;Япония=2,2;Буркина-Фасо=2,2;Испания=1,1;Португалия=1,1;Чехия=1,1;Кипр=2,1;Ивано-Франковская область=2,1;Норвегия=2,2;Германия=19,13;Россия=996,579;Канада=5,4;Тернопольская область=5,2;Черкасская область=8,8;Ямайка=2,2;Финляндия=4,3;Непал=1,1;США=4,4;?Московская область=0,0;Австрия=2,1;Курганская оласть=3,2;Минск=29,18;?=1,1;Кировоградская область=1,1;Винницкая область=6,6;Мадагаскар=1,1;Астана=2,2;Болгария=2,2;Могилевская область=6,5;Ровненская область=1,1;Австралия=2,2;Франция=3,3;Китай=5,2;Объединенные Арабские Эмираты=2,2;Витебская область=7,5;Великобритания=1,1
занос	2246	163	1194	889	1487	123	751	613	22	18	0	0	1	1	16	10	8	7	25	14	29	7	0	0	0	0	46	23	1	1	6	2	20	15	0	0	0	0	10	6	19	18	4	4	1	1	8	8	1	1	0	0	10	7	13	11	9	4	41	22	1	1	33	26	8	4	70	37	0	0	0	0	10	9	31	17	0	0	15	14	2	2	49	43	0	0	10	7	29	20	17	7	8	5	0	0	28	17	0	0	7	7	1	1	6	4	0	0	0	0	0	0	0	0	17	13	1	1	163	123	26	15	2	2	127	89	0	0	4	3	33	19	4	4	2	2	2	2	8	4	9	5	9	7	5	3	3	1	0	0	1	1	1	1	0	0	0	0	2	2	13	5	12	7	1	1	27	10	9	3	6	4	0	0	4	2	14	11	0	0	23	17	1	1	1	1	0	0	11	10	27	21	0	0	1	1	4	3	122	64	4	2	8	3	14	13	20	14	2	2	2	2	1	1	55	18	0	0	353	214	7	6	0	0	1	1	22	16	18	18	0	0	9	7	6	5	11	9	2	1	4	3	7	7	0	0	10	8	6	6	0	0	10	4	23	12	1	1	13	8	1	1	0	0	22	3	0	0	0	0	1	1	2	2	Италия=1,1;Хмельницкая область=3,3;NA=480,299;Испания=1,1;Израиль=1,1;Япония=3,3;Витебская область=8,7;Чехия=1,1;Кипр=1,1;Ирландия=2,2;Ивано-Франковская область=6,4;Германия=6,4;Россия=357,277;Канада=2,2;Тернопольская область=5,3;Черкасская область=11,3;Польша=5,1;Минск=22,15;?=1,1;Кировоградская область=2,2;Винницкая область=1,1;Бельгия=0,0;Могилевская область=3,2;США=1,1;Ровненская область=1,1;Франция=1,1;Китай=1,1;Индонезия=0,0;Астана=3,1
догонялки	1821	31	1028	762	1695	27	953	715	17	17	0	0	2	2	17	17	11	10	32	21	3	3	1	1	1	1	27	27	1	1	1	1	3	3	5	5	1	1	9	9	77	73	6	6	2	2	7	6	1	1	1	1	5	5	19	16	4	4	19	16	3	3	22	22	0	0	30	30	0	0	0	0	11	11	11	11	1	1	10	9	3	3	45	42	0	0	7	6	28	24	7	7	10	9	0	0	21	21	0	0	6	6	0	0	4	4	0	0	0	0	2	2	1	1	12	10	4	4	139	126	27	26	0	0	81	78	2	2	1	1	14	13	8	8	2	2	3	3	5	4	4	4	1	1	4	4	3	3	0	0	0	0	6	6	1	1	1	1	2	2	10	10	7	7	2	2	5	5	6	6	5	5	2	2	1	1	6	5	0	0	17	14	2	2	6	5	0	0	7	6	37	33	1	1	2	2	1	1	77	73	3	3	5	5	12	11	15	15	4	3	2	2	1	1	14	14	1	1	252	242	8	8	0	0	6	5	9	8	27	24	0	0	13	13	7	7	4	4	2	2	4	4	13	13	8	8	4	4	3	3	0	0	14	4	6	6	4	4	13	12	6	4	0	0	3	3	0	0	3	3	1	1	3	3	Хмельницкая область=2,2;NA=440,411;Япония=2,2;?Татарстан=1,1;Витебская область=5,5;Чехия=0,0;Ивано-Франковская область=2,2;Германия=5,4;Таиланд=1,1;Канада=1,1;Тернопольская область=3,3;Ямайка=0,0;Финляндия=1,1;Испания=2,2;Курганская оласть=4,4;Минск=19,17;?=1,1;Кировоградская область=2,2;Винницкая область=1,1;Астана=17,16;Болгария=0,0;Могилевская область=7,7;США=7,7;Турция=1,1;Ровненская область=1,1;Россия=255,242;Франция=2,1;Китай=0,0;Великобритания=3,3
матный	1301	33	725	543	1035	30	590	415	18	10	4	4	0	0	3	3	7	7	21	17	0	0	0	0	0	0	19	19	0	0	2	2	7	2	0	0	1	1	3	3	31	27	3	3	1	1	2	2	0	0	0	0	3	3	7	7	7	7	16	12	0	0	23	23	0	0	25	21	0	0	0	0	7	3	3	3	0	0	9	9	0	0	26	22	0	0	8	4	19	12	14	6	2	2	0	0	11	11	0	0	6	6	0	0	2	2	0	0	0	0	5	1	0	0	5	5	2	2	100	76	9	9	2	2	41	37	0	0	0	0	19	18	9	9	8	4	1	1	1	1	3	3	5	5	4	4	1	1	0	0	1	1	1	1	0	0	0	0	6	6	8	8	4	4	0	0	8	7	4	3	2	2	1	1	2	2	1	1	1	1	9	9	3	3	3	3	0	0	4	4	22	16	1	1	1	1	0	0	55	43	7	3	4	4	3	3	6	6	2	2	1	1	0	0	9	9	2	2	208	178	5	5	0	0	2	2	8	4	21	14	0	0	2	2	10	6	7	7	0	0	2	2	9	5	2	2	8	7	3	3	0	0	4	4	7	7	3	3	9	6	0	0	0	0	12	12	0	0	1	1	0	0	3	3	Хмельницкая область=0,0;NA=278,219;Япония=0,0;?Татарстан=1,1;Витебская область=3,3;Ивано-Франковская область=3,3;Германия=0,0;Россия=223,167;Канада=0,0;Тернопольская область=1,1;Австралия=0,0;Курганская оласть=0,0;Минск=18,14;?=1,1;Кировоградская область=1,1;Винницкая область=5,5;Бельгия=6,1;Астана=6,6;Могилевская область=3,3;США=3,3;Ровненская область=5,5;Франция=1,1;Китай=5,1;Великобритания=1,1
мобилка	1182	292	429	461	1082	258	397	427	10	10	1	1	1	1	6	4	2	2	5	4	9	3	0	0	1	1	13	13	1	1	1	1	5	5	0	0	0	0	9	4	70	69	2	2	0	0	9	9	1	1	1	1	2	2	20	19	4	4	16	16	1	1	12	11	1	1	53	49	0	0	0	0	4	4	8	7	0	0	10	9	0	0	21	20	0	0	5	5	13	13	6	6	4	4	0	0	26	21	0	0	3	3	0	0	1	1	0	0	0	0	0	0	0	0	4	4	1	1	98	85	16	11	0	0	42	39	0	0	1	1	9	9	11	9	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	3	3	3	3	3	0	0	3	3	0	0	0	0	2	1	1	1	2	2	0	0	18	17	2	2	1	1	0	0	8	7	9	9	0	0	3	3	4	4	43	41	4	4	2	2	7	7	21	17	2	2	0	0	1	1	16	16	1	1	292	258	3	3	0	0	2	2	6	6	10	10	0	0	2	2	7	7	0	0	0	0	5	5	4	4	7	5	3	3	1	1	1	1	2	2	3	3	5	4	3	3	1	1	0	0	3	3	0	0	0	0	0	0	2	2	Зимбабве=1,1;Хмельницкая область=5,5;NA=236,225;Испания=4,3;США=2,2;Израиль=2,2;Япония=2,2;Португалия=3,3;Витебская область=3,2;Кипр=1,1;Южная Корея=1,1;Ивано-Франковская область=2,2;Объединенные Арабские Эмираты=1,1;Германия=5,5;Сингапур=0,0;Канада=1,1;Черкасская область=0,0;Непал=1,1;Минск=14,9;?=0,0;Кировоградская область=2,2;Винницкая область=13,4;Могилевская область=2,2;Россия=164,148;Китай=2,2;Афганистан=1,1;Великобритания=2,1;Астана=18,18;Тернопольская область=3,2
поребрик	1046	11	653	382	832	10	518	304	1	1	0	0	1	1	2	2	2	2	3	2	1	1	1	1	1	1	6	4	0	0	0	0	0	0	0	0	0	0	1	1	3	3	1	1	0	0	5	5	1	1	0	0	2	2	10	7	1	1	6	6	3	2	3	3	0	0	152	109	1	1	0	0	2	2	2	2	0	0	4	3	2	1	15	12	0	0	0	0	2	2	0	0	0	0	0	0	33	24	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	8	7	0	0	72	66	3	3	0	0	23	20	1	1	0	0	9	8	14	11	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	1	1	5	5	0	0	0	0	0	0	44	32	1	1	1	1	0	0	2	2	1	1	0	0	0	0	1	1	16	13	0	0	0	0	2	2	25	21	2	1	0	0	1	1	36	21	2	2	468	349	2	1	0	0	1	1	8	8	10	10	0	0	6	5	5	5	1	1	0	0	2	2	0	0	12	10	1	1	1	1	0	0	2	2	6	6	5	4	1	1	1	1	0	0	0	0	0	0	0	0	2	1	1	1	Италия=2,2;ЮАР=1,1;Хмельницкая область=3,3;NA=156,132;Испания=2,2;Израиль=1,1;Япония=1,1;Швейцария=2,1;США=0,0;Чехия=1,1;Ивано-Франковская область=2,2;Германия=10,9;?=0,0;Россия=189,139;Канада=4,2;Тернопольская область=1,1;Черкасская область=6,5;Австралия=1,1;Болгария=0,0;Польша=1,1;Австрия=1,1;Кировоградская область=0,0;Ровненская область=4,4;Минск=5,5;Винницкая область=5,5;Бельгия=1,1;Франция=2,2;Астана=0,0;Дания=1,1;Великобритания=1,1
обменник	984	17	663	304	791	14	533	244	9	6	2	2	0	0	13	8	1	1	4	4	2	2	0	0	0	0	8	8	1	1	2	1	5	2	0	0	0	0	2	2	10	9	2	2	1	1	4	3	0	0	0	0	2	2	45	39	0	0	18	12	8	6	8	7	2	2	83	76	0	0	0	0	0	0	9	7	0	0	4	4	2	1	20	16	0	0	6	5	14	10	1	1	1	1	0	0	22	20	1	1	6	3	1	1	0	0	0	0	0	0	0	0	0	0	6	5	0	0	98	73	5	4	1	1	49	38	0	0	0	0	7	5	12	10	1	1	0	0	0	0	4	4	4	3	0	0	2	2	0	0	0	0	1	1	0	0	0	0	1	1	0	0	2	2	0	0	4	4	0	0	1	1	4	3	1	1	5	4	0	0	24	22	0	0	1	1	0	0	6	3	10	6	0	0	0	0	2	2	44	32	0	0	1	1	5	2	19	16	4	3	0	0	0	0	12	11	2	2	332	286	1	1	0	0	0	0	8	4	9	7	1	1	7	3	7	6	0	0	0	0	1	1	6	4	8	8	2	1	3	3	0	0	2	2	5	4	1	1	5	4	2	1	0	0	2	2	0	0	0	0	0	0	1	1	Хмельницкая область=2,2;NA=156,125;Южная Корея=1,1;Израиль=2,2;Вьетнам=1,1;Чехия=0,0;Ивано-Франковская область=1,1;Германия=3,3;Таиланд=1,1;Россия=127,99;Канада=2,2;Черкасская область=4,3;Ямайка=1,1;Непал=0,0;Польша=1,1;?=2,2;Кировоградская область=1,1;Минск=4,4;Винницкая область=2,2;Могилевская область=0,0;Сингапур=0,0;Витебская область=1,1;Великобритания=3,2
пасочка	836	565	93	178	659	435	80	144	1	1	3	3	0	0	1	1	0	0	1	1	2	2	0	0	3	3	4	2	0	0	0	0	1	1	0	0	0	0	1	1	6	6	0	0	0	0	7	6	5	1	1	1	0	0	13	9	0	0	3	3	11	10	0	0	0	0	147	104	0	0	0	0	1	1	1	1	0	0	5	5	0	0	8	8	0	0	2	2	1	1	1	1	0	0	0	0	26	23	0	0	1	1	0	0	2	2	0	0	0	0	0	0	0	0	2	2	0	0	23	17	1	1	1	1	11	11	0	0	0	0	2	2	21	15	1	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	0	3	3	0	0	3	2	0	0	48	33	0	0	3	3	0	0	0	0	2	2	0	0	0	0	4	2	9	7	0	0	1	1	2	2	37	30	0	0	0	0	0	0	30	23	0	0	537	408	0	0	0	0	2	2	14	13	13	13	0	0	2	2	14	6	0	0	0	0	9	7	1	1	15	13	3	3	0	0	0	0	0	0	1	1	2	2	3	2	1	1	0	0	0	0	0	0	0	0	0	0	4	4	Хмельницкая область=12,10;NA=124,96;США=0,0;Израиль=0,0;Япония=0,0;Португалия=1,1;Чехия=1,1;Ивано-Франковская область=1,1;Россия=41,35;Канада=2,2;Тернопольская область=3,3;Черкасская область=4,4;Испания=0,0;Непал=1,1;?Московская область=1,1;Индия=1,1;Кировоградская область=1,1;Минск=2,2;Винницкая область=2,2;Бельгия=1,1;Турция=0,0;Ровненская область=4,3;Астана=2,2;?Луганская область=1,1
мивина	829	525	30	274	797	500	30	267	1	1	1	1	0	0	1	1	0	0	1	1	1	1	0	0	0	0	3	3	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	12	12	8	6	0	0	0	0	62	58	0	0	0	0	15	14	1	1	0	0	117	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	1	1	0	0	0	0	0	0	18	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	24	24	0	0	7	6	0	0	1	1	0	0	0	0	0	0	1	1	4	4	0	0	0	0	0	0	30	30	0	0	0	0	0	0	34	33	0	0	525	500	1	1	0	0	0	0	0	0	0	0	0	0	1	1	2	2	1	1	0	0	10	9	1	1	3	3	2	2	0	0	0	0	0	0	1	1	8	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	Черкасская область=3,3;Италия=1,1;NA=250,246;Винницкая область=7,7;Израиль=2,2;Польша=1,1;Кировоградская область=2,2;Витебская область=0,0;Могилевская область=1,1;США=2,2;Турция=1,1;Ровненская область=2,2;Хмельницкая область=4,4;Франция=1,1;Ивано-Франковская область=2,2;Норвегия=1,1;Германия=2,2;Россия=12,9;Канада=1,1;Тернопольская область=3,3
