Loc	Authors count	Words count	Positive occs	Negative occs	Not positive occs	Positive lemmas	Negative lemmas	Not positive lemmas
Украина	145559	303221837	124	244	66	65	146	24
Москва	58269	141775957	262	3227	0	9	244	0
?Сибирский ФО	31281	61708871	6	168	181	5	102	85
Урал	26899	57686791	2	194	189	1	108	64
Киев	22594	53568283	846	1126	0	50	98	0
Западная Сибирь	19271	39738225	6	167	81	4	99	50
Казахстан	18947	35253518	128	172	6	21	81	2
Донецкая область	10604	22192095	210	483	0	42	54	0
Башкирия	10648	21127993	32	582	0	4	80	0
Свердловская область	9279	20724931	150	529	0	36	81	0
Харьковская область	8822	20197387	221	430	0	30	58	0
Одесская область	9059	19357357	208	410	0	33	57	0
Татарстан	9339	18948642	54	499	0	9	71	0
Самарская область	9044	18887592	45	510	0	6	76	0
Днепропетровская область	8049	17535775	187	389	0	28	52	0
Челябинская область	8687	17153683	121	518	0	21	59	0
Крым	7391	16554262	288	318	0	28	49	0
Краснодарский край	8165	16520421	69	473	0	24	87	0
Белоруссия	9305	16519656	68	107	1	12	65	1
Пермский край	6921	14962342	130	397	0	21	51	0
Новосибирская область	7119	14544994	193	408	0	23	69	0
Московская область	7373	13361496	146	271	0	5	72	0
Ростовская область	6377	13280541	46	361	0	13	67	0
Запорожская область	5287	12565362	101	216	0	23	48	0
Дальний Восток	4868	11944606	0	115	33	0	47	25
Красноярский край	5737	10884482	80	326	0	25	52	0
Ханты-Мансийский АО	3181	9387495	3	210	0	2	49	0
Вологодская область	3891	8450736	27	251	0	11	56	0
Омская область	4308	8065164	55	206	0	15	42	0
Волгоградская область	4007	8042971	21	203	0	7	46	0
Архангельская область	3007	7755383	75	141	0	18	34	0
Кемеровская область	3374	7325468	25	182	0	9	44	0
Тюменская область	3944	7100776	74	243	0	22	47	0
Луганская область	3495	7058885	52	142	0	15	32	0
Удмуртия	2541	6583345	28	158	0	10	46	0
Ярославская область	2939	6546318	28	193	0	9	42	0
Иркутская область	3239	6163916	60	165	0	21	42	0
Львовская область	3320	6157452	99	178	0	24	36	0
Оренбургская область	3295	6041268	39	196	0	6	40	0
Коми	2247	5923596	20	124	0	2	29	0
Алтайский край	2168	5731863	25	143	0	5	44	0
Калининградская область	2501	5593578	52	133	0	7	41	0
Николаевская область	2990	5482008	52	119	0	19	31	0
Воронежская область	3312	5459214	22	180	0	6	48	0
Саратовская область	3065	5442360	1	188	0	1	39	0
Кировская область	2471	5251928	23	167	0	4	35	0
Полтавская область	2537	5234584	47	93	0	14	25	0
Якутия	2122	5215389	34	140	0	11	35	0
Тульская область	2202	4844762	3	133	0	2	39	0
Ульяновская область	2247	4829262	10	165	0	3	30	0
Мурманская область	2628	4742058	13	152	0	6	41	0
Ставропольский край	2320	4685282	11	177	0	4	33	0
